,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Cantabria,"298,665","298,487","299,218","300,391","301,874","303,245","303,862","303,249","302,319","300,500","296,669","292,541","290,222","287,512","283,877","281,381","277,783","275,639","272,477","270,983","270,371", ,"270,491"
Castellón,"290,539","290,003","291,443","292,607","294,704","300,707","301,637","301,489","300,784","298,841","295,086","285,203","278,421","270,718","263,246","258,802","250,827","244,030","239,315","236,317","233,481", ,"231,321"
Ciudad Real,"252,444","254,250","256,041","259,142","261,695","264,074","266,183","266,097","265,355","264,235","261,694","256,649","255,299","252,265","249,216","247,067","245,958","243,593","243,095","244,259","244,502", ,"244,317"
Córdoba,"400,155","401,483","403,140","405,052","406,758","408,233","409,198","409,999","409,538","408,773","406,164","403,009","401,348","399,627","397,657","395,955","393,803","393,114","392,929","392,439","391,931", ,"389,152"
A Coruña,"582,714","582,983","583,921","585,904","588,660","591,082","593,902","595,648","595,140","594,647","591,084","588,440","586,881","585,518","582,580","582,345","577,972","575,963","576,675","576,037","574,556", ,"576,381"
Cuenca,"98,223","98,897","99,974","101,258","102,863","104,788","107,576","108,086","107,332","107,081","106,216","104,742","103,548","103,062","101,599","100,942","100,566","100,896","100,927","100,875","100,055", ,"101,325"
Guipúzcoa,"368,896","368,020","366,834","366,035","365,134","364,267","363,442","361,954","360,236","358,878","356,377","353,544","351,844","350,103","348,961","348,007","347,307","346,058","345,868","344,577","344,635", ,"344,308"
Girona,"381,257","378,101","376,633","376,118","376,981","378,947","378,199","375,362","372,273","368,153","359,598","348,077","338,409","328,300","316,100","308,178","298,455","290,333","284,139","278,482","273,791", ,"268,089"
Granada,"462,757","463,117","464,244","465,390","466,048","465,649","466,712","467,466","464,338","458,644","453,940","446,317","442,864","436,180","427,215","420,814","416,838","414,365","413,345","415,310","409,310", ,"412,544"
Guadalajara,"125,454","124,969","124,617","124,734","125,229","125,927","126,528","124,929","122,393","119,543","115,460","109,278","104,451","99,655","95,002","91,053","87,553","84,771","81,859","80,075","78,867", ,"77,843"
Huelva,"262,219","261,317","262,025","262,318","261,687","262,281","263,492","262,606","260,365","258,259","255,521","249,520","246,118","242,650","239,561","237,544","233,935","232,959","231,984","231,280","229,525", ,"229,959"
Huesca,"108,746","108,848","109,482","110,283","111,069","111,548","112,097","112,137","112,042","111,779","110,332","108,129","107,040","105,995","104,940","104,324","103,397","102,244","102,210","102,294","102,102", ,"102,940"
Jaén,"322,550","325,054","327,388","330,309","332,450","334,411","336,016","337,216","337,861","337,265","334,870","334,199","333,255","332,243","329,581","328,476","326,812","326,168","326,508","328,399","326,520", ,"328,692"
León,"238,100","240,257","242,877","245,731","248,157","250,573","252,702","254,483","255,085","255,453","255,414","254,448","255,172","254,146","252,378","253,892","254,246","255,671","256,873","258,834","258,796", ,"263,935"
Lleida,"213,357","213,325","214,124","215,310","216,110","217,136","217,687","216,920","215,371","213,307","208,493","202,747","199,164","195,821","190,714","187,641","185,029","182,661","181,458","180,272","179,751", ,"179,084"
Lugo,"170,680","171,859","173,373","174,781","176,423","177,992","179,366","180,676","181,521","182,252","182,635","182,754","183,628","184,226","184,640","185,606","186,199","187,269","188,025","188,397","188,695", ,"189,753"
Madrid,"3,430,207","3,391,662","3,368,365","3,349,974","3,354,799","3,371,827","3,368,319","3,356,836","3,334,246","3,292,058","3,230,980","3,137,911","3,099,529","3,076,425","2,999,867","2,958,065","2,863,745","2,787,654","2,704,123","2,673,227","2,646,417", ,"2,610,741"
Málaga,"836,263","830,064","828,668","828,206","824,329","839,121","832,571","824,701","815,982","806,675","790,249","766,841","753,779","735,837","709,683","699,090","678,836","665,966","655,244","645,170","634,653", ,"637,540"
Murcia,"738,366","734,035","731,292","731,854","730,929","732,207","731,722","728,488","723,352","714,911","703,110","685,791","673,279","658,743","642,637","629,435","610,757","594,621","579,203","571,240","563,725", ,"556,180"
Navarra,"327,085","324,563","322,807","322,591","322,304","323,544","323,113","321,395","318,501","315,092","310,095","303,546","300,957","296,885","292,675","289,219","285,008","279,145","273,931","271,298","268,132", ,"262,856"
Ourense,"160,867","161,991","163,627","165,348","167,203","169,299","171,082","172,687","173,873","174,188","174,251","174,900","175,886","176,543","176,959","178,042","178,801","179,328","179,769","179,776","178,961", ,"180,135"
Palencia,"81,712","82,447","83,035","83,803","84,612","85,259","86,083","86,550","86,967","87,356","87,602","87,776","87,839","87,903","88,161","88,608","89,132","89,821","90,311","90,748","90,731", ,"91,006"
Las Palmas,"556,620","551,764","549,872","549,557","549,861","550,840","548,628","545,739","541,906","537,512","529,927","515,782","506,522","499,941","488,263","484,363","470,617","458,024","446,225","434,723","424,603", ,"416,412"
Pontevedra,"486,873","487,114","487,795","489,260","490,752","492,445","493,820","496,820","496,572","495,399","491,931","489,280","487,332","485,208","481,819","480,716","477,677","476,288","475,040","473,246","471,917", ,"476,006"
La Rioja,"159,917","159,873","159,825","160,320","160,912","161,868","162,035","161,373","160,531","159,529","157,159","153,195","151,821","149,354","146,339","143,395","140,834","135,894","133,222","133,660","132,936", ,"133,758"
Salamanca,"170,408","171,330","172,372","174,016","175,398","176,598","179,075","180,402","180,685","181,096","180,526","179,754","180,717","180,470","179,892","178,420","177,912","179,565","179,376","180,051","179,398", ,"180,949"
Tenerife,"517,033","511,244","509,214","507,546","508,581","512,537","513,476","519,439","517,907","513,844","505,904","494,676","487,917","480,109","466,619","460,346","449,785","432,793","415,152","406,259","397,320", ,"392,892"
Segovia,"76,363","76,741","77,381","78,215","78,987","80,104","81,006","81,202","81,234","81,218","80,647","78,830","77,616","77,209","75,916","75,045","74,471","73,473","73,313","73,479","73,345", ,"73,887"
Sevilla,"991,188","990,710","990,343","990,893","990,472","990,558","988,561","983,196","976,681","967,283","954,206","941,415","934,110","923,281","912,287","907,849","895,909","890,563","884,643","879,258","873,935", ,"868,842"
Soria,"43,800","43,917","44,445","44,929","45,498","45,955","46,543","46,876","46,858","46,815","46,765","46,419","46,393","46,080","45,604","45,303","45,627","45,665","45,513","45,665","45,903", ,"46,527"
Tarragona,"399,241","396,788","396,562","397,371","399,328","402,727","403,738","401,669","399,379","395,397","386,871","372,714","359,790","348,010","334,537","325,158","314,709","306,397","300,788","295,806","291,906", ,"289,746"
Teruel,"66,512","66,878","67,473","68,327","68,916","69,654","70,250","70,599","70,714","71,018","70,547","69,784","69,091","68,818","68,260","68,045","67,660","67,356","67,573","67,817","67,845", ,"68,681"
Toledo,"341,859","341,313","342,000","343,818","346,187","349,258","350,756","348,706","343,858","339,057","328,926","315,629","304,786","296,693","287,665","280,646","272,645","268,049","264,771","262,575","260,835", ,"259,088"
Valencia,"1,299,059","1,294,682","1,294,491","1,293,150","1,295,140","1,301,854","1,306,552","1,304,354","1,303,421","1,299,124","1,282,128","1,255,855","1,243,487","1,223,059","1,196,774","1,178,396","1,154,203","1,137,005","1,126,499","1,119,886","1,112,640", ,"1,113,183"
Valladolid,"266,495","266,984","268,088","269,289","270,292","271,665","272,339","272,265","271,499","270,790","268,944","265,678","264,352","261,985","260,081","257,688","255,299","253,930","252,802","252,048","250,647", ,"249,640"
Zamora,"88,230","89,596","91,085","92,548","93,561","94,934","96,512","97,390","97,787","98,521","99,118","99,430","99,726","100,104","100,419","101,004","101,607","102,527","103,211","103,774","103,988", ,"105,261"
Zaragoza,"487,972","487,129","484,402","486,550","488,436","495,961","495,222","492,271","491,162","488,857","481,636","471,746","464,681","462,066","455,510","447,511","443,308","437,471","434,004","432,377","430,921", ,"431,390"
Ceuta,"41,967","41,925","41,673","41,506","41,609","41,120","41,070","40,211","39,310","38,556","38,004","37,690","37,280","36,961","36,541","36,536","36,957","36,810","36,744","36,589","36,015", ,"34,567"
Melilla,"42,619","42,491","42,258","41,991","41,434","40,662","39,233","38,220","37,215","36,216","35,112","34,232","32,909","32,166","33,561","33,726","34,006","33,762","32,287","27,977","29,539", ,"29,929"
