Wage (€),Value (€),Name,Age,Nationality,Overall,Potential,Club
240000,27000000,Z. Ibrahimovi_,35,Sweden,88,88,Manchester United
225000,36000000,A. Robben,33,Netherlands,88,88,FC Bayern Munich
190000,52500000,N. Kanté,26,France,87,90,Chelsea
130000,64500000,M. Verratti,24,Italy,87,91,Paris Saint-Germain
195000,66500000,P. Pogba,24,France,87,92,Manchester United
165000,65000000,C. Eriksen,25,Denmark,87,91,Tottenham Hotspur
160000,37500000,A. Vidal,30,Chile,87,87,FC Bayern Munich
160000,48500000,E. Cavani,30,Uruguay,87,87,Paris Saint-Germain
250000,38000000,Marcelo,29,Brazil,87,87,Real Madrid CF
130000,48500000,M. Hamšík,29,Slovakia,87,87,Napoli
275000,48500000,I. Rakiti_,29,Croatia,87,87,FC Barcelona
220000,44000000,David Silva,31,Spain,87,87,Manchester City
91000,29000000,S. Handanovi_,32,Slovenia,87,87,Inter
240000,37500000,Piqué,30,Spain,87,87,FC Barcelona
260000,29500000,Iniesta,33,Spain,87,87,FC Barcelona
165000,59000000,H. Kane,23,England,86,90,Tottenham Hotspur
250000,56000000,J. Rodríguez,25,Colombia,86,89,FC Bayern Munich
250000,56500000,Isco,25,Spain,86,90,Real Madrid CF
150000,44500000,D. Alaba,25,Austria,86,88,FC Bayern Munich
210000,59000000,R. Lukaku,24,Belgium,86,90,Manchester United
175000,44000000,Alex Sandro,26,Brazil,86,88,Juventus
190000,47500000,T. Müller,27,Germany,86,86,FC Bayern Munich
250000,36000000,Sergio Busquets,28,Spain,86,86,FC Barcelona
205000,56000000,Coutinho,25,Brazil,86,89,Liverpool
120000,45000000,M. Reus,28,Germany,86,86,Borussia Dortmund
165000,40500000,T. Alderweireld,28,Belgium,86,87,Tottenham Hotspur
190000,33000000,David Luiz,30,Brazil,86,86,Chelsea
235000,46000000,Diego Costa,28,Spain,86,86,Chelsea
130000,42500000,R. Nainggolan,29,Belgium,86,86,Roma
165000,36000000,Javi Martínez,28,Spain,86,86,FC Bayern Munich
135000,43000000,D. Mertens,30,Belgium,86,86,Napoli
110000,34500000,Sokratis,29,Greece,86,86,Borussia Dortmund
115000,25500000,Miranda,32,Brazil,86,86,Inter
295000,44500000,K. Benzema,29,France,86,86,Real Madrid CF
210000,41000000,Cesc Fàbregas,30,Spain,86,86,Chelsea
175000,22500000,F. Ribéry,34,France,86,86,FC Bayern Munich
94000,13500000,Pepe,34,Portugal,86,86,Be_ikta_ JK
92000,10500000,P. _ech,35,Czech Republic,86,86,Arsenal
77000,51500000,Y. Carrasco,23,Belgium,85,90,Atlético Madrid
175000,46500000,R. Varane,24,France,85,92,Real Madrid CF
195000,42000000,Casemiro,25,Brazil,85,89,Real Madrid CF
115000,45000000,L. Insigne,26,Italy,85,86,Napoli
180000,48500000,A. Lacazette,26,France,85,88,Arsenal
165000,24500000,K. Navas,30,Costa Rica,85,85,Real Madrid CF
195000,39000000,H. Mkhitaryan,28,Armenia,85,85,Manchester United
46000,22000000,D. Subaši_,32,Croatia,85,85,AS Monaco
61000,34000000,B. Leno,25,Germany,85,88,Bayer 04 Leverkusen
155000,35500000,M. ter Stegen,25,Germany,85,89,FC Barcelona
60000,30000000,K. Glik,29,Poland,85,85,AS Monaco
215000,30500000,Jordi Alba,28,Spain,85,85,FC Barcelona
190000,46000000,I. Gündo_an,26,Germany,85,87,Manchester City
160000,37500000,Azpilicueta,27,Spain,85,87,Chelsea
145000,37500000,A. Di María,29,Argentina,85,85,Paris Saint-Germain
160000,43500000,M. Pjani_,27,Bosnia Herzegovina,85,86,Juventus
160000,33000000,C. Marchisio,31,Italy,85,85,Juventus
130000,28500000,J. Vertonghen,30,Belgium,85,85,Tottenham Hotspur
145000,28500000,B. Matuidi,30,France,85,85,Juventus
49000,24500000,S. Ruffier,30,France,85,85,AS Saint-Étienne
81000,25000000,Filipe Luís,31,Brazil,85,85,Atlético Madrid
170000,26000000,V. Kompany,31,Belgium,85,85,Manchester City
105000,5000000,A. Barzagli,36,Italy,85,85,Juventus
150000,35500000,E. Bailly,23,Ivory Coast,84,89,Manchester United
175000,46000000,Marco Asensio,21,Spain,84,92,Real Madrid CF
165000,43500000,Bernardo Silva,22,Portugal,84,91,Manchester City
36000,35500000,A. Laporte,23,France,84,89,Athletic Club de Bilbao
115000,43000000,D. Alli,21,England,84,90,Tottenham Hotspur
175000,39000000,S. Mané,25,Senegal,84,87,Liverpool
195000,32000000,Carvajal,25,Spain,84,87,Real Madrid CF
120000,39500000,J. Draxler,23,Germany,84,87,Paris Saint-Germain
105000,42000000,M. Icardi,24,Argentina,84,89,Inter
170000,41000000,Morata,24,Spain,84,88,Chelsea
96000,32500000,K. Koulibaly,26,Senegal,84,87,Napoli
39000,31000000,T. Horn,24,Germany,84,90,1. FC Köln
84000,39500000,Koke,25,Spain,84,88,Atlético Madrid
96000,31500000,K. Manolas,26,Greece,84,86,Roma
145000,31500000,S. Mustafi,25,Germany,84,86,Arsenal
190000,32000000,Ander Herrera,27,Spain,84,84,Manchester United
105000,35000000,K. Strootman,27,Netherlands,84,85,Roma
200000,30500000,Pedro,29,Spain,84,84,Chelsea
69000,26000000,R. Bürki,26,Switzerland,84,86,Borussia Dortmund
59000,18500000,Bruno,33,Spain,84,84,Villarreal CF
110000,31500000,I. Periši_,28,Croatia,84,84,Inter
115000,28000000,E. Džeko,31,Bosnia Herzegovina,84,84,Roma
200000,31500000,Willian,28,Brazil,84,84,Chelsea
160000,29000000,S. Khedira,30,Germany,84,84,Juventus
54000,25000000,R. Fährmann,28,Germany,84,85,FC Schalke 04
46000,25000000,Sergio Asenjo,28,Spain,84,85,Villarreal CF
195000,30500000,Juan Mata,29,Spain,84,84,Manchester United
145000,23000000,M. Benatia,30,Morocco,84,84,Juventus
60000,29500000,D. Payet,30,France,84,84,Olympique de Marseille
68000,28000000,Falcao,31,Colombia,84,84,AS Monaco
150000,21000000,L. Koscielny,31,France,84,84,Arsenal
160000,21000000,G. Cahill,31,England,84,84,Chelsea
115000,9000000,Dani Alves,34,Brazil,84,84,Paris Saint-Germain
60000,31000000,A. Gómez,29,Argentina,84,84,Atalanta
38000,11000000,Aduriz,36,Spain,84,84,Athletic Club de Bilbao
31000,41500000,K. Mbappé,18,France,83,94,Paris Saint-Germain
150000,40000000,O. Dembélé,20,France,83,92,FC Barcelona
68000,34000000,N. Keïta,22,Guinea,83,88,RB Leipzig
53000,28500000,J. Giménez,22,Uruguay,83,87,Atlético Madrid
28000,25500000,G. Rulli,25,Argentina,83,89,Real Sociedad
37000,38500000,T. Lemar,21,France,83,91,AS Monaco
70000,34000000,João Mário,24,Portugal,83,88,Inter
78000,30500000,N. Süle,21,Germany,83,89,FC Bayern Munich
87000,26000000,Ederson,23,Brazil,83,89,Manchester City
37000,29500000,Fabinho,23,Brazil,83,88,AS Monaco
135000,32500000,M. Salah,25,Egypt,83,86,Liverpool
58000,37000000,A. Belotti,23,Italy,83,90,Torino
75000,31500000,E. Forsberg,25,Sweden,83,85,RB Leipzig
75000,30500000,Marquinhos,23,Brazil,83,89,Paris Saint-Germain
21000,27500000,William Carvalho,25,Portugal,83,86,Sporting CP
135000,29500000,S. Umtiti,23,France,83,88,FC Barcelona
88000,30500000,R. Mahrez,26,Algeria,83,84,Leicester City
89000,27500000,V. van Dijk,25,Netherlands,83,86,Southampton
135000,34000000,Roberto Firmino,25,Brazil,83,87,Liverpool
18000,27500000,Danilo Pereira,25,Portugal,83,86,FC Porto
68000,27000000,Vitolo,27,Spain,83,83,UD Las Palmas
60000,22500000,A. Lopes,26,Portugal,83,86,Olympique Lyonnais
56000,29000000,S. de Vrij,25,Netherlands,83,88,Lazio
28000,25000000,M. Perin,24,Italy,83,88,Genoa
110000,26500000,J. Matip,25,Cameroon,83,85,Liverpool
115000,24500000,I. Gueye,27,Senegal,83,84,Everton
39000,26000000,Iago Aspas,29,Spain,83,83,RC Celta de Vigo
140000,20000000,N. Otamendi,29,Argentina,83,83,Manchester City
140000,21000000,N. Mati_,28,Serbia,83,83,Manchester United
100000,25500000,J. Pastore,28,Argentina,83,83,Paris Saint-Germain
45000,25500000,Parejo,28,Spain,83,83,Valencia CF
75000,26000000,S. Kagawa,28,Japan,83,83,Borussia Dortmund
115000,26500000,G. Bonaventura,27,Italy,83,83,Milan
28000,27000000,B. Dost,28,Netherlands,83,83,Sporting CP
130000,24000000,K. Walker,27,England,83,84,Manchester City
0,0,Oscar,25,Brazil,83,86,
25000,21000000,S. N'Zonzi,28,France,83,83,Sevilla FC
105000,27000000,M. Musacchio,26,Argentina,83,86,Milan
66000,24500000,O. Toprak,27,Turkey,83,84,Borussia Dortmund
87000,24500000,José Callejón,30,Spain,83,83,Napoli
0,0,Adrien Silva,28,Portugal,83,83,
15000,25000000,S. Giovinco,30,Italy,83,83,Toronto FC
70000,25500000,N. Gaitán,29,Argentina,83,83,Atlético Madrid
135000,23500000,M. Mandžuki_,31,Croatia,83,83,Juventus
135000,25000000,A. Lallana,29,England,83,83,Liverpool
50000,20000000,B. Höwedes,29,Germany,83,83,Juventus
27000,25500000,E. Banega,29,Argentina,83,83,Sevilla FC
19000,17500000,Rui Patrício,29,Portugal,83,83,Sporting CP
39000,21000000,Y. Sommer,28,Switzerland,83,84,Borussia Mönchengladbach
115000,25500000,M. Schneiderlin,27,France,83,85,Everton
21000,16500000,Jonas,33,Brazil,83,83,SL Benfica
73000,25000000,K. Gameiro,30,France,83,83,Atlético Madrid
66000,14500000,L. Piszczek,32,Poland,83,83,Borussia Dortmund
40000,19000000,E. Garay,30,Argentina,83,83,Valencia CF
130000,17000000,A. Valencia,31,Ecuador,83,83,Manchester United
65000,19000000,K. Schmeichel,30,Denmark,83,84,Leicester City
115000,25000000,M. Dembélé,29,Belgium,83,83,Tottenham Hotspur
80000,20000000,Borja Valero,32,Spain,83,83,Inter
46000,17500000,L. Perrin,31,France,83,83,AS Saint-Étienne
105000,17500000,L. Biglia,31,Argentina,83,83,Milan
62000,14500000,Juanfran,32,Spain,83,83,Atlético Madrid
19000,6000000,Diego López,35,Spain,83,83,RCD Espanyol
130000,19500000,Santi Cazorla,32,Spain,83,83,Arsenal
155000,10500000,J. Mascherano,33,Argentina,83,83,FC Barcelona
47000,15500000,W. Sneijder,33,Netherlands,83,83,OGC Nice
47000,24500000,Nani,30,Portugal,83,83,Lazio
73000,10500000,D. De Rossi,33,Italy,83,83,Roma
59000,10500000,José Reina,34,Spain,83,83,Napoli
67000,15500000,Quaresma,33,Portugal,83,83,Be_ikta_ JK
145000,12500000,Y. Touré,34,Ivory Coast,83,83,Manchester City
10000,3500000,Casillas,36,Spain,83,83,FC Porto
35000,28500000,G. Donnarumma,18,Italy,82,94,Milan
125000,34500000,L. Sané,21,Germany,82,91,Manchester City
105000,26000000,T. Bakayoko,22,France,82,88,Chelsea
98000,30500000,C. Tolisso,22,France,82,89,FC Bayern Munich
100000,22000000,I. Slimani,29,Algeria,82,82,Leicester City
70000,28000000,N. Fekir,23,France,82,85,Olympique Lyonnais
45000,26000000,J. Seri,25,Ivory Coast,82,83,OGC Nice
46000,32500000,K. Baldé Diao,22,Senegal,82,90,AS Monaco
47000,26000000,J. Tah,21,Germany,82,88,Bayer 04 Leverkusen
110000,30500000,F. Bernardeschi,23,Italy,82,88,Juventus
68000,30500000,T. Werner,21,Germany,82,87,RB Leipzig
150000,30000000,André Gomes,23,Portugal,82,88,FC Barcelona
115000,33000000,A. Martial,21,France,82,90,Manchester United
46000,30000000,L. Goretzka,22,Germany,82,88,FC Schalke 04
76000,28000000,Q. Promes,25,Netherlands,82,85,Spartak Moscow
185000,26000000,Lucas Vázquez,26,Spain,82,83,Real Madrid CF
59000,32000000,Saúl,22,Spain,82,90,Atlético Madrid
20000,18000000,Felipe,28,Brazil,82,82,FC Porto
125000,21500000,C. Bacca,30,Colombia,82,82,Villarreal CF
27000,22500000,F. Vázquez,28,Italy,82,82,Sevilla FC
150000,30000000,M. Kova_i_,23,Croatia,82,88,Real Madrid CF
16000,21500000,Sergio Rico,23,Spain,82,87,Sevilla FC
43000,27500000,Manu Trigueros,25,Spain,82,85,Villarreal CF
105000,24500000,A. Rüdiger,24,Germany,82,86,Chelsea
40000,28000000,F. Thauvin,24,France,82,85,Olympique de Marseille
62000,24000000,S. Savi_,26,Montenegro,82,86,Atlético Madrid
37000,24000000,Iñigo Martínez,26,Spain,82,86,Real Sociedad
85000,18000000,Roque Mesa,28,Spain,82,82,Swansea City
73000,22000000,A. Florenzi,26,Italy,82,84,Roma
110000,27500000,D. Klaassen,24,Netherlands,82,85,Everton
67000,23000000,K. Bellarabi,27,Germany,82,82,Bayer 04 Leverkusen
140000,29500000,R. Sterling,22,England,82,87,Manchester City
110000,29500000,Suso,23,Spain,82,87,Milan
165000,31000000,Deulofeu,23,Spain,82,89,FC Barcelona
85000,25000000,E. Dier,23,England,82,87,Tottenham Hotspur
130000,21000000,M. Rojo,27,Argentina,82,83,Manchester United
92000,28000000,Lucas,24,Brazil,82,85,Paris Saint-Germain
95000,28000000,H. Son,24,Korea Republic,82,85,Tottenham Hotspur
68000,17000000,F. Acerbi,29,Italy,82,82,Sassuolo
110000,27500000,G. Xhaka,24,Switzerland,82,85,Arsenal
31000,23000000,Jonathan Viera,27,Spain,82,82,UD Las Palmas
19000,23000000,Pizzi,27,Portugal,82,82,SL Benfica
42000,29000000,Willian José,25,Brazil,82,86,Real Sociedad
37000,18000000,O. Baumann,27,Germany,82,84,TSG 1899 Hoffenheim
64000,17000000,G. Medel,29,Chile,82,82,Be_ikta_ JK
43000,20000000,Víctor Ruíz,28,Spain,82,83,Villarreal CF
85000,28000000,X. Shaqiri,25,Switzerland,82,85,Stoke City
130000,21500000,J. Cuadrado,29,Colombia,82,82,Juventus
70000,26000000,C. Immobile,27,Italy,82,83,Lazio
115000,24000000,Douglas Costa,26,Brazil,82,82,Juventus
115000,22000000,N. Clyne,26,England,82,84,Liverpool
85000,17000000,Iborra,29,Spain,82,82,Leicester City
71000,18500000,K. Trapp,26,Germany,82,84,Paris Saint-Germain
99000,23000000,V. Wanyama,26,Kenya,82,85,Tottenham Hotspur
1000,21500000,Taison,29,Brazil,82,82,Shakhtar Donetsk
1000,21500000,Marlos,29,Brazil,82,82,Shakhtar Donetsk
56000,23000000,L. Stindl,28,Germany,82,82,Borussia Mönchengladbach
51000,24500000,M. Balotelli,26,Italy,82,82,OGC Nice
130000,25500000,A. Ramsey,26,Wales,82,83,Arsenal
90000,18000000,W. Szcz_sny,27,Poland,82,84,Juventus
130000,23000000,G. Sigurðsson,27,Iceland,82,82,Everton
21000,23000000,Y. Brahimi,27,Algeria,82,82,FC Porto
125000,22500000,M. Arnautovi_,28,Austria,82,82,West Ham United
115000,21500000,J. Henderson,27,England,82,84,Liverpool
47000,22000000,M. Kruse,29,Germany,82,82,SV Werder Bremen
30000,13500000,O. Karnezis,31,Greece,82,82,Watford
18000,18000000,L. Fejsa,28,Serbia,82,82,SL Benfica
57000,13500000,F. Muslera,31,Uruguay,82,82,Galatasaray SK
54000,15000000,V. _orluka,31,Croatia,82,82,Lokomotiv Moscow
130000,27000000,G. Wijnaldum,26,Netherlands,82,85,Liverpool
73000,16500000,F. Fazio,30,Argentina,82,82,Roma
140000,21500000,O. Giroud,30,France,82,82,Arsenal
73000,9000000,B. Ivanovi_,33,Serbia,82,82,Zenit St. Petersburg
135000,22000000,J. Hernández,29,Mexico,82,82,West Ham United
35000,20500000,Beñat,30,Spain,82,82,Athletic Club de Bilbao
64000,20000000,L. Bender,28,Germany,82,83,Bayer 04 Leverkusen
0,0,A. Witsel,28,Belgium,82,82,
110000,9000000,C. Bravo,34,Chile,82,82,Manchester City
64000,14000000,A. Begovi_,30,Bosnia Herzegovina,82,82,Bournemouth
48000,6500000,Naldo,34,Brazil,82,82,FC Schalke 04
140000,23500000,D. Sturridge,27,England,82,82,Liverpool
99000,21000000,D. Rose,26,England,82,83,Tottenham Hotspur
46000,22500000,C. Vela,28,Mexico,82,82,Real Sociedad
37000,13500000,E. Viviano,31,Italy,82,82,Sampdoria
72000,20500000,G. Castro,30,Germany,82,82,Borussia Dortmund
29000,21000000,S. Nasri,30,France,82,82,Antalyaspor
115000,12500000,A. Williams,32,Wales,82,82,Everton
31000,12500000,S. Mandanda,32,France,82,82,Olympique de Marseille
115000,12500000,L. Baines,32,England,82,82,Everton
52000,14000000,A. Consigli,30,Italy,82,82,Sassuolo
48000,20500000,João Moutinho,30,Portugal,82,82,AS Monaco
46000,15000000,B. Costil,29,France,82,82,Girondins de Bordeaux
73000,15000000,Raúl Albiol,31,Spain,82,82,Napoli
110000,14000000,J. Hart,30,England,82,82,West Ham United
85000,20000000,M. Gómez,31,Germany,82,82,VfL Wolfsburg
54000,17500000,Raffael,32,Brazil,82,82,Borussia Mönchengladbach
170000,20500000,A. Turan,30,Turkey,82,82,FC Barcelona
130000,12500000,Fernandinho,32,Brazil,82,82,Manchester City
12000,10000000,David Villa,35,Spain,82,82,New York City Football Club
115000,8500000,S. Lichtsteiner,33,Switzerland,82,82,Juventus
30000,12500000,R. Jarstein,32,Norway,82,82,Hertha BSC Berlin
115000,31000000,Gabriel Jesus,20,Brazil,81,92,Manchester City
125000,20500000,Nélson Semedo,23,Portugal,81,87,FC Barcelona
20000,25000000,Gelson Martins,22,Portugal,81,88,Sporting CP
47000,24500000,Malcom,20,Brazil,81,87,Girondins de Bordeaux
46000,21000000,J. Weigl,21,Germany,81,87,Borussia Dortmund
70000,21500000,D. Sánchez,21,Colombia,81,88,Tottenham Hotspur
50000,22000000,A. Kramari_,26,Croatia,81,83,TSG 1899 Hoffenheim
64000,23000000,M. Brozovi_,24,Croatia,81,85,Inter
31000,24500000,Williams,23,Spain,81,87,Athletic Club de Bilbao
26000,17000000,Dani García,27,Spain,81,82,SD Eibar
86000,23000000,A. Christensen,21,Denmark,81,89,Chelsea
81000,20500000,J. Kimmich,22,Germany,81,87,FC Bayern Munich
63000,24000000,Bruma,22,Portugal,81,86,RB Leipzig
62000,24500000,D. Berardi,22,Italy,81,87,Sassuolo
34000,24000000,M. Sanson,22,France,81,87,Olympique de Marseille
77000,23500000,A. Rabiot,22,France,81,86,Paris Saint-Germain
58000,24000000,R. Guerreiro,23,Portugal,81,86,Borussia Dortmund
89000,17000000,J. Vardy,30,England,81,81,Leicester City
16000,23000000,H. Ziyech,24,Morocco,81,85,Ajax
91000,21000000,M. Keane,24,England,81,87,Everton
71000,22000000,Jorginho,25,Italy,81,84,Napoli
91000,21000000,Héctor Bellerín,22,Spain,81,88,Arsenal
50000,18000000,J. Butland,24,England,81,87,Stoke City
44000,21000000,S. Zaza,26,Italy,81,82,Valencia CF
77000,18500000,T. Meunier,25,Belgium,81,84,Paris Saint-Germain
57000,24000000,Felipe Anderson,24,Brazil,81,86,Lazio
140000,23500000,Rafinha,24,Brazil,81,86,FC Barcelona
145000,17500000,Nacho Fernández,27,Spain,81,83,Real Madrid CF
125000,15000000,J. Cillessen,28,Netherlands,81,83,FC Barcelona
140000,19500000,Sergi Roberto,25,Spain,81,86,FC Barcelona
26000,21000000,W. Ben Yedder,26,France,81,82,Sevilla FC
135000,18500000,Lucas Pérez,28,Spain,81,81,RC Deportivo de La Coruña
105000,24000000,R. Barkley,23,England,81,86,Everton
45000,22500000,C. Bakambu,26,DR Congo,81,84,Villarreal CF
60000,22500000,W. Zaha,24,Ivory Coast,81,84,Crystal Palace
61000,18000000,Bartra,26,Spain,81,83,Borussia Dortmund
79000,19000000,S. Aurier,24,Ivory Coast,81,85,Tottenham Hotspur
21000,18000000,S. Coates,26,Uruguay,81,83,Sporting CP
81000,17500000,G. Krychowiak,27,Poland,81,83,West Bromwich Albion
73000,21000000,K. Kampl,26,Slovenia,81,83,RB Leipzig
110000,17500000,D. Lovren,27,Croatia,81,83,Liverpool
72000,18500000,A. Yarmolenko,27,Ukraine,81,81,Borussia Dortmund
71000,18500000,Y. Belhanda,27,Morocco,81,81,Galatasaray SK
52000,17000000,Mário Fernandes,26,Russia,81,82,CSKA Moscow
83000,18500000,R. Rodríguez,24,Switzerland,81,84,Milan
17000,23000000,J. Corona,24,Mexico,81,85,FC Porto
38000,18000000,Mario Gaspar,26,Spain,81,84,Villarreal CF
115000,17500000,Marcos Alonso,26,Spain,81,83,Chelsea
63000,22500000,M. Götze,25,Germany,81,85,Borussia Dortmund
28000,14500000,L. Hrádecký,27,Finland,81,83,Eintracht Frankfurt
37000,18000000,Illarramendi,27,Spain,81,81,Real Sociedad
31000,14000000,De Marcos,28,Spain,81,81,Athletic Club de Bilbao
120000,17000000,C. Smalling,27,England,81,82,Manchester United
33000,17500000,Iturraspe,28,Spain,81,81,Athletic Club de Bilbao
115000,22000000,J. Wilshere,25,England,81,84,Arsenal
105000,20000000,S. Rudy,27,Germany,81,82,FC Bayern Munich
95000,24500000,M. Lanzini,24,Argentina,81,87,West Ham United
32000,20500000,R. Boudebouz,27,Algeria,81,82,Real Betis Balompié
66000,18000000,Camacho,27,Spain,81,84,VfL Wolfsburg
165000,17500000,Paulinho,28,Brazil,81,81,FC Barcelona
84000,18000000,N. Kalini_,29,Croatia,81,81,Milan
80000,20500000,Giuliano,27,Brazil,81,82,Fenerbahçe SK
75000,22000000,C. Benteke,26,Belgium,81,83,Crystal Palace
84000,18000000,D. Perotti,28,Argentina,81,81,Roma
60000,13500000,M. Parolo,32,Italy,81,81,Lazio
44000,18000000,K. Mitroglou,29,Greece,81,81,Olympique de Marseille
63000,17000000,M. Sakho,27,France,81,82,Crystal Palace
35000,12000000,A. Rami,31,France,81,81,Olympique de Marseille
48000,21000000,S. Joveti_,27,Montenegro,81,82,AS Monaco
115000,14000000,S. Coleman,28,Republic of Ireland,81,81,Everton
23000,16000000,S. Kjær,28,Denmark,81,82,Sevilla FC
24000,11500000,Adán,30,Spain,81,81,Real Betis Balompié
86000,14000000,M. Valbuena,32,France,81,81,Fenerbahçe SK
91000,12000000,S. Mignolet,29,Belgium,81,81,Liverpool
68000,13000000,D. Astori,30,Italy,81,81,Fiorentina
125000,17500000,K. Mirallas,29,Belgium,81,81,Everton
32000,17000000,Raúl García,30,Spain,81,81,Athletic Club de Bilbao
73000,10000000,M. Škrtel,32,Slovakia,81,81,Fenerbahçe SK
51000,11000000,T. Heaton,31,England,81,81,Burnley
88000,17000000,H. Ben Arfa,30,France,81,81,Paris Saint-Germain
39000,7000000,Dante,33,Brazil,81,81,OGC Nice
84000,16000000,A. Gignac,31,France,81,81,Tigres U.A.N.L.
62000,10500000,Gabi,33,Spain,81,81,Atlético Madrid
27000,7000000,G. Rodríguez,33,Argentina,81,81,San Lorenzo de Almagro
1000,3800000,D. Srna,35,Croatia,81,81,Shakhtar Donetsk
13000,13500000,B. Schweinsteiger,32,Germany,81,81,Chicago Fire Soccer Club
34000,4200000,C. Carrasso,35,France,81,81,Galatasaray SK
46000,9000000,Moyá,33,Spain,81,81,Atlético Madrid
120000,15500000,W. Rooney,31,England,81,81,Everton
110000,10000000,P. Mertesacker,32,Germany,81,81,Arsenal
81000,5500000,T. Motta,34,Italy,81,81,Paris Saint-Germain
68000,11000000,Fernando Torres,33,Spain,81,81,Atlético Madrid
22000,6500000,S. Eto'o,36,Cameroon,81,81,Antalyaspor
74000,22000000,M. Rashford,19,England,80,89,Manchester United
52000,20000000,S. Milinkovi_-Savi_,22,Serbia,80,86,Lazio
35000,23500000,Y. Tielemans,20,Belgium,80,90,AS Monaco
35000,17500000,Jemerson,24,Brazil,80,86,AS Monaco
42000,19500000,N. Bentaleb,22,Algeria,80,85,FC Schalke 04
45000,14000000,Alisson,24,Brazil,80,84,Roma
15000,16000000,Alex Telles,24,Brazil,80,84,FC Porto
49000,22000000,J. Brandt,21,Germany,80,88,Bayer 04 Leverkusen
40000,19500000,K. Demirbay,23,Germany,80,84,TSG 1899 Hoffenheim
88000,19000000,D. Rugani,22,Italy,80,88,Juventus
36000,20000000,Samu Castillejo,22,Spain,80,85,Villarreal CF
64000,20500000,P. Zieli_ski,23,Poland,80,87,Napoli
15000,17000000,Ricardo Pereira,23,Portugal,80,86,FC Porto
12000,17500000,Grimaldo,21,Spain,80,87,SL Benfica
1000,19500000,Fred,24,Brazil,80,85,Shakhtar Donetsk
42000,14000000,J. Hector,27,Germany,80,81,1. FC Köln
105000,19500000,E. Can,23,Germany,80,85,Liverpool
91000,15500000,S. Kolašinac,24,Bosnia Herzegovina,80,83,Arsenal
20000,15500000,Arrizabalaga,22,Spain,80,87,Athletic Club de Bilbao
41000,20500000,A. Pléa,24,France,80,86,OGC Nice
1000,14000000,T. Stepanenko,27,Ukraine,80,81,Shakhtar Donetsk
74000,16000000,O. Shatov,26,Russia,80,80,Zenit St. Petersburg
36000,19000000,Leo Baptistao,24,Brazil,80,83,RCD Espanyol
38000,16500000,M. Nastasi_,24,Serbia,80,84,FC Schalke 04
140000,20500000,Denis Suárez,23,Spain,80,87,FC Barcelona
120000,20000000,M. Batshuayi,23,Belgium,80,85,Chelsea
57000,17000000,J. Brooks,24,United States,80,85,VfL Wolfsburg
22000,11500000,Eric Botteghin,29,Brazil,80,80,Feyenoord
71000,14000000,L. Karius,24,Germany,80,84,Liverpool
44000,19500000,T. Hazard,24,Belgium,80,84,Borussia Mönchengladbach
42000,16000000,V. Germain,27,France,80,80,Olympique de Marseille
69000,16500000,L. Kurzawa,24,France,80,85,Paris Saint-Germain
42000,15000000,J. Ili_i_,29,Slovenia,80,80,Atalanta
59000,19000000,K. Volland,24,Germany,80,83,Bayer 04 Leverkusen
74000,17500000,Allan,26,Brazil,80,82,Napoli
32000,13500000,P. Hernández,30,Chile,80,80,RC Celta de Vigo
