,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Las Palmas,"552,555","548,716","547,928","548,849","550,166","553,010","552,185","551,241","548,699","545,990","540,105","526,349","517,664","511,987","498,865","495,243","480,420","466,534","451,370","437,946","425,260", ,"417,673"
Pontevedra,"454,899","455,617","456,551","458,114","460,167","462,605","464,608","466,691","465,900","464,365","461,469","458,359","455,785","453,103","449,112","446,839","442,257","439,888","437,581","435,557","434,381", ,"439,098"
La Rioja,"155,758","155,508","155,969","156,733","158,090","160,159","161,574","161,582","161,884","162,173","160,342","155,773","154,556","151,730","147,214","143,995","140,780","134,506","130,956","131,518","130,708", ,"131,183"
Salamanca,"161,065","162,273","163,613","165,379","167,061","168,950","171,489","172,584","172,934","173,512","172,878","171,572","172,393","171,944","171,092","169,851","169,208","170,644","170,357","171,077","170,152", ,"172,071"
Tenerife,"501,477","496,397","494,910","494,354","496,207","502,292","504,055","510,350","510,007","506,646","500,032","489,144","483,730","476,243","461,793","454,916","442,933","424,015","403,529","393,761","382,832", ,"379,557"
Segovia,"76,979","77,443","78,271","79,355","80,316","81,598","82,695","82,967","83,034","83,636","83,252","80,492","78,982","78,308","76,724","75,656","74,815","73,555","73,300","73,506","73,410", ,"73,883"
Sevilla,"948,699","948,817","949,432","950,587","950,883","951,597","950,413","945,766","940,416","932,941","921,256","907,853","900,967","890,627","880,133","875,013","862,811","856,878","850,274","846,224","840,910", ,"836,478"
Soria,"44,800","44,986","45,595","46,077","46,723","47,336","47,979","48,347","48,400","48,286","47,881","47,174","47,110","46,693","46,048","45,651","45,860","45,649","45,398","45,587","45,690", ,"46,321"
Tarragona,"396,661","394,905","395,737","397,730","401,634","407,451","410,461","409,732","409,041","407,904","402,024","385,081","370,676","356,897","339,607","328,991","316,447","305,689","297,745","292,693","288,339", ,"284,930"
Teruel,"68,060","68,684","69,504","70,605","71,449","72,529","73,478","74,008","74,563","75,733","75,777","74,262","73,069","72,273","71,073","70,641","69,682","68,877","68,900","69,032","68,995", ,"69,530"
Toledo,"345,532","345,528","346,672","349,553","352,949","357,149","360,472","358,536","354,101","350,578","341,277","323,992","310,832","301,563","290,395","282,453","273,893","268,082","263,194","260,884","258,829", ,"256,792"
Valencia,"1,248,927","1,246,025","1,249,773","1,250,165","1,253,758","1,264,620","1,274,240","1,274,365","1,277,726","1,276,238","1,261,081","1,230,628","1,220,105","1,193,569","1,162,145","1,141,901","1,113,300","1,090,165","1,074,701","1,067,747","1,060,156", ,"1,059,657"
Valladolid,"253,356","254,146","255,591","256,999","258,865","260,619","261,941","262,609","262,141","261,785","260,075","255,983","254,897","252,689","250,782","248,614","245,858","244,031","242,888","242,546","241,382", ,"240,565"
Zamora,"86,319","87,808","89,321","90,888","91,871","93,336","95,100","95,993","96,427","97,144","98,103","97,807","97,766","97,941","98,105","98,684","99,071","99,829","100,258","100,876","101,213", ,"102,214"
Zaragoza,"466,839","466,357","466,105","469,456","471,675","482,677","482,908","481,054","482,090","481,456","473,687","460,756","452,607","450,006","441,840","432,607","427,901","420,094","414,002","412,194","410,517", ,"411,029"
Ceuta,"43,177","43,034","42,846","42,757","43,354","43,060","42,948","42,165","41,269","40,118","39,385","38,913","38,581","38,315","38,113","38,395","39,195","38,884","38,497","37,115","36,102", ,"34,229"
Melilla,"43,765","43,629","43,768","43,593","43,075","43,017","41,569","40,256","38,819","37,244","36,336","35,208","33,962","33,322","34,455","34,737","35,178","35,027","33,976","28,952","30,569", ,"29,647"
