,Episode,Line,Character,Dialogue,Action
23038,146,114,banana guard, Yeah?,
23043,146,119,banana guard," Emergency! Quickly, Lake Butterscotch!",
23045,146,121,banana guard, Use the licorice lace lasso!,
23048,146,124,banana guard," Oh, okay.",
23051,146,127,banana guard," Busted, you boat crimer.",
23053,146,129,banana guard, Finn and Jake?,
23060,146,136,banana guard," Uh, yeah, it is the princess!",
23063,146,139,banana guard, Um... what case?,
23065,146,141,banana guard, We didn't solve that case.,
23067,146,143,banana guard," Um, Root Beer Guy!",
23222,147,148,banana guard, Did she just say let everyone go?,
23481,149,95,banana guard," Oh! Wow! Cool! ,  Show's back on!",another banana guard
23956,152,106,banana guard," Yo, why are you so confident, man? Aren't you nervous to meet the princess?",
24740,158,133,banana guard, Hey!,
25702,165,71,banana guard, I don't know. Weren't they just here?,
25762,165,131,banana guard," Well, I guess my kids still have a daddy.",
25975,167,74,banana guard," Hey, good news, fellas. You bail's paid. You're free to go. ",unlocks handcuffs
26272,170,34,banana guard," Don't. ,  No! ,  Hey, watch your pieces, man.","covers part of the set, looks at another banana guard"
27368,178,136,banana guard," Hey, the closet's open!",
29093,194,103,banana guard," Ma'am, you're gonna have to come with us.",
29095,194,105,banana guard, No!,
29101,194,111,banana guard," Hey, big baby!",
29411,197,107,banana guard,,Grunts
29412,197,108,banana guard,,Grunts
30368,211,50,banana guard, S-she's beautiful.,
30371,211,53,banana guard," No. You're not beautiful. ,  We see you clearly now. You're earwax!",takes off wig
30373,211,55,banana guard, You're earwax!,
32686,279,309,banana guard," Uh, no.",
32688,279,311,banana guard, Can we flee in a panic?,
23049,146,125,banana guard, I got it!,
19916,126,93,banana guard," Well, check 'em in, Private.",
19918,126,95,banana guard," And Private, I'm very thirsty! Bring me back the most delicious flavor they have!",
19921,126,98,banana guard, Huh? Now what in the heck—?!,
19923,126,100,banana guard," What flavor did you bring me, Private?",
19925,126,102,banana guard, What?,
19927,126,104,banana guard, The forbidden flavor! It's—delicious.,screaming
22381,142,86,banana guard, Okay...,uncertainly
22384,142,89,banana guard,,growls angrily
22412,142,117,banana guard," Hey, speedy. ,  You're comin' with me.",pokes Banana Man with staff
22414,142,119,banana guard, Mm-hmm... 'cause you ain't got enough peel on that 'nanner! You're under arrest for public indecency!,
19915,126,92,banana guard," Captain, the milk delivery has arrived.",Sees a milk van arriving
19917,126,94,banana guard," Yes, sir! ",Goes towards the door
19919,126,96,banana guard, Yes sir! ,Leaves the room
19922,126,99,banana guard," I got your milk, sir!",
24728,158,121,banana guard, It's them!,The four Jameses leave the shop wearing gloves but the gloves fall on the ground
10723,62,169,banana guard, Whoa.,
15359,95,4,banana guard,  Long live the king!,
15362,95,7,banana guard,[' Long live the king!'],Whose bodies are upside-down now
15628,97,17,banana guard,"  Hey, Finn!",
15636,97,25,banana guard,  Nothing!,
15638,97,27,banana guard,  Show you what?,
15640,97,29,banana guard,  We didn't say nothin'!,
17509,110,112,banana guard,"  Yeah, yeah. We've heard that before. C'mon robber!",
20012,127,32,banana guard, ,"imitating siren, Pour water inside of Cinnamon Bun's home"
22994,146,70,banana guard," Your highness. Greetings, your majesty.",
23452,149,66,banana guard, Go! Go! Go! Go! , A robot slices the rock person into pieces with his sword and was put into a big pile of broken rock people
23470,149,84,banana guard," CHARGE! ,  WEEWOOWEEWOO! ,  CHARGE! ","Rattleballs takes out his sword, and circled the sword on the ground to dust the air., Rattleballs charges at a Banana Guard. The dust clears and four banana guards surround Rattleballs, The banana guards charge at Rattleballs. Rattleballs smites them simultaneously. He creates a dust cloud and jumps high in the sky"
23476,149,90,banana guard," Hey, you hit me!",
24676,158,69,banana guard, Ooooh!,
24732,158,125,banana guard, Gotcha!,
24738,158,131,banana guard," Okay! Weeoo weeoo weeoo weeoo... ,  Ah! Can't fight! ","starts advancing on the goo monsters. Gumball Guardians shoot lasers out of there eyes and obliterates one of the goo monsters. A Banana Guard fakes their death by putting a spear on his body and lies down, Finn comes and takes the spear"
29073,194,83,banana guard, Wee-Ooo! Wee-Ooo! Wee-Ooo! Wee-Ooo!,
29091,194,101,banana guard,,both munching donuts
29765,202,12,banana guard,,Push Finn and Jake while on the stools much closer to the TV
32720,279,343,banana guard," Princess, we came back to help! ,  Eee! Help us, princess!",Captured by the Gumball Guardian
17526,110,129,banana guard,"  C'mon, man! That last game wasn't fair.",
17528,110,131,banana guard,"  Okay, this game breaks the tie.",
17530,110,133,banana guard,  Last game.,
17540,110,143,banana guard,"  Whew! You sure know how to party, Davey! ",The guards are struggling to hold their arms up
17543,110,146,banana guard,  No no no!,
17555,110,158,banana guard,"  Yeah, there goes Davey and the criminal.",
17527,110,130,banana guard,  How about: Who can hold up their hand the longest?,
17529,110,132,banana guard,  Okay.,
17531,110,134,banana guard,  Last game.,
17534,110,137,banana guard,"  Hm? Oh, hey Davey.",
17536,110,139,banana guard,"  Hm? ,  What's going on?",Starts shivering
17538,110,141,banana guard,  Umm... yeah... sure. I do feel kinda dirty.,
17542,110,145,banana guard,[' Yes yes yes!'],Cheers because he's winning
17549,110,152,banana guard," Here's your meal, criminal. We feed our criminals. ,  Hey, stop!","Comes to Jake's prison, Realizes the prisoner is free. Drops the meal"
17554,110,157,banana guard,"  Hey, there they go!",
17558,110,161,banana guard,[' Thanks!'],Shouts out to Finn
30369,211,51,banana guard," You're preachin' to the preacher, brother.",
22345,142,50,banana guard," What? Am I—oh, hi! Um, longtime listener, first-time caller. So, uh, I think Princess Bubblegum has been replaced by, like, a lizard person.",
32501,279,124,banana guard," Up we go. ,  In position, ma'am. Code name, ""Father's Brother"", appears testy.","Ascends with a rocket, so do more Banana Guard 500s."
10713,62,159,banana guard," Boy, this place could use a scarecrow.",
10700,62,146,banana guard, Banana Guard speaking.,
24683,158,76,banana guard," Huh, how can twenty-five guys look like one guy? You mean they're viginti-quintuplets?",
24688,158,81,banana guard, How did that happen?,
24727,158,120,banana guard, Where they'd go?,Four Jameses hide in a glove shop from four banana guards.
24673,158,66,banana guard, I'm the leader.,
24675,158,68,banana guard," Hey guys, it's the picture of one of the perpetrators. Take a good look.",
24678,158,71,banana guard, I need to see the other twenty-four pictures.,
24680,158,73,banana guard, What? How can one picture identify twenty-five perpetrators?,
24682,158,75,banana guard," Oh okay, I see. There's twenty-five of them! They all look like this guy!",
24684,158,77,banana guard, You mean they're viginti-quintuplets?,
24686,158,79,banana guard, What are clones?,
24690,158,83,banana guard, I love long stories.,
24692,158,85,banana guard, And they're not brothers?,
24702,158,95,banana guard," Hey you, stop!",to one of the Jameses who's walking in front of them
24704,158,97,banana guard, Have you seen this guy?,
24707,158,100,banana guard," You two stop too! ,  Show them the picture!","when seeing two other Jameses, to the first James"
24709,158,102,banana guard, Have you guys seen this guy?,
24712,158,105,banana guard, Let me see that picture again.,
24714,158,107,banana guard," Hmm... Hmm... ,  What's your name?",to Clone James I
24716,158,109,banana guard, What's your name?,pointing to a random James with their finger
24720,158,113,banana guard, You're all named James. Is it because you guys look alike?,
24722,158,115,banana guard," Y'know, I was telling this to the guys... If, if we look alike, we should have the same name. It would just make it a little easier. Life, that is. It would make our life a little easier. ,  Aah... Give me a second... ,  Same name... Look alike... You really look alike... Brothers! You're all brothers?","crying, wipes the tear"
24724,158,117,banana guard," One, two, three, four, five, six, seven-",counting the Jameses
24726,158,119,banana guard," Hmm... Twenty-five... Not brothers... ,  I think these are the twenty-five that are not brothers. ,  Perpetrators! Get to them! ","They remember Princess Bubblegum saying “No, they're not brothers, they're clones!” to them., to the other banana guards, shouting, The banana guards start running after the Jameses and Princess Bubblegum, Finn and Jake laugh again."
23220,147,146,banana guard, Uh... what?,
19938,126,115,banana guard, Louder! Push it hard!,
19936,126,113,banana guard," Alright soldiers, time to shred those pipes! I wanna hear you scream!",They look on their watches
7607,43,37,susan strong, Suhhhn... Ow la koo sow suhn. ,Presumably an agreement that she'll look at the sun.
7609,43,39,susan strong, Suuhh... suhhhn... ,"Presumably: ""Sun."""
7616,43,46,susan strong, Huh?,Squinting
7619,43,49,susan strong, Aah! AAH!!,
7624,43,54,susan strong," Graaaahhhss... ,  Huh... huh... huh. ","She lands on the ground and feels the grass., She slams her face to the ground."
7629,43,59,susan strong, Hahahahahahahaha! Two be cah reh ss... buh a thuh ahp fer ger... ss.,
7631,43,61,susan strong, YEEH!! ITSA PA TUH MUP!,Scared
7633,43,63,susan strong, Ohhhh. ,"Taking it, She wipes herself."
7639,43,69,susan strong, Manee mah nuhp lehp!,Scared
7643,43,73,susan strong,[' Jus a rah. '],"Relieved sigh, ""Just a rock."", She hugs another rock and squeezes it until it shatters."
7647,43,77,susan strong," Hm, hah, prety go-ah-suh pattah! ","Singing and looking around, ""Pretty golden patterns!"""
7655,43,85,susan strong,[' MMMM!! Ohhh... Tha is goo!! '],"Presumably: ""That is good!!"", Susan ravenously attacks the marshmallow bag."
7660,43,90,susan strong, CAAANDY KING-DOOOM!,Breathing extremely hard; mouth watering profusely
7664,43,94,susan strong, Finn!,Whispering
7666,43,96,susan strong," Finn, where's all the candy yuh werp talk ah bout?! ","Whispering, Presumably: ""Finn, where's all the candy you were talking about?!"""
7669,43,99,susan strong, CANDY! CANDY! ,"Excitedly, Slobbers on Peppermint Butler"
7671,43,101,susan strong, Ohh-ho. ,"Ashamed, Scowls"
7673,43,103,susan strong," Mmm! ,  Now, I gonna get friends. We eat all of Candy Kingdom.",Finn smiles at her.
7675,43,105,susan strong," Oh. No, no, no, no, no. We won't eat red stripe man. Only everyone else. ,  Bye!",Running away
7685,43,115,susan strong, Just grass!,Calming them down
7701,43,131,susan strong, Wah!! Just shadows!,To tribe
7709,43,139,susan strong, DUCK!!,
11064,65,13,susan strong,"  Finn, help Susan.",
11074,65,23,susan strong,  I need your hero heart and your magic.,
11076,65,25,susan strong,[' Magic of red flower.'],Points to fire boiling the water
11079,65,28,susan strong,"  Long ago, my people live in Beautopia... but driven out by Lub Glubs. We come here. We too scared to fight back. This why we need your hero heart. Hyoomans! ,  I'll be back!",Hyoomans gasp.
11083,65,32,susan strong,  Come on. We swim there.,
11085,65,34,susan strong,[' We go.'],"Thinking he said ""hyooman,"" she laughs"
11088,65,37,susan strong," You no gills. ,  We take boat.","Examining Finn's head, Finn puts his hat back on."
11091,65,40,susan strong,  There. ,Points to a raging whirlpool
11096,65,45,susan strong,  Keeps looking for Lub Glubs.,
11098,65,47,susan strong,[' No move!'],Whispering
11100,65,49,susan strong,"  Whew, we safe now. ",Leaves to steer the boat; Jake looks at Finn.
11108,65,57,susan strong,  Getting close to the Lub Glubs' mash-'em-ups.,
11110,65,59,susan strong,  Behold!,
11113,65,62,susan strong,  The clashing gates!,
11115,65,64,susan strong,"["" 'S okay. Susan know when is safe to pass through.""]",Rubbing Jake's head
11119,65,68,susan strong,  Go... now!,
11121,65,70,susan strong,"  Oh, good. Still got some boat left.",
11126,65,75,susan strong,  Hmm... never made this far before. Just gotta get past Lub Glubs.,
11128,65,77,susan strong,"  They... umm, look, they like this. ",Draws an obscure picture with her finger on the boat wood
11131,65,80,susan strong,  Yes. Lub Glubs crazy scary. Hyoomans scared so long. Even Susan. That why glad I meet you. You have brave heart. ,Places her hand on Finn's chest and crushes it in her grip.
11134,65,83,susan strong,[' We here? We at B-Beautopia! '],"Stops paddling, Excited, Susan grabs Finn"
11138,65,87,susan strong,  We's be alls good once bring red flower to city heart.,
11141,65,90,susan strong,  Lub Glubs! They coming!,
11144,65,93,susan strong,[' Shh! Shh! Too many Lub Glubs to fight!'],Panicking
11154,65,103,susan strong," Susan scared... but Susan brave, too. ,  SUUSSSAAANN!!!!! ","Whimpers, Grabs lantern, Jumps and tackles a group of Lub Glubs"
11158,65,107,susan strong,[' Finn! Jake!'],Tosses the lantern
11160,65,109,susan strong,  Red flower! Throw it to city heart!,
11167,65,116,susan strong,[' Hmm.'],Looking at Finn
11175,65,124,susan strong,"  Finn, you stay.",
28057,184,35,susan strong," Hmph. ,  Go away, robots!",throws can at drones
28062,184,40,susan strong, Baby.,
28064,184,42,susan strong," Oh, dang! ","gasps, breaks apart her drone and jumps on Celina's, then throws the broken drone's wings at the fan, stopping its spinning"
28066,184,44,susan strong,,gasps
28068,184,46,susan strong, Baby.,
28071,184,49,susan strong,,growls
28073,184,51,susan strong, Hmm?,
28075,184,53,susan strong," Hmm? ,  Cheryl. ,  Where's baby? Cheryl better talk. ","gives thumbs-up and walks up to fountain, grunts, confronts cardboard cutout, touches cutout"
28077,184,55,susan strong, Baby!,smashes cutout
28079,184,57,susan strong," No! ,  This is fake style bubblehead. Cheryl trying to trick us!","sniffs cardboard, stomping on cutout"
28081,184,59,susan strong, Baby! That hole too small for Susan.,gasps
28083,184,61,susan strong," If Sally say so... ,  Hup! Hyah!",lifts Sally and throws her at the vent
28085,184,63,susan strong," You two, follow baby cries.",
28087,184,65,susan strong," Susan will find other way. Hmm? ,  Hmm... ","taps foot on rug, punches through the floor and drops down, finding workers preparing Super Porp"
28089,184,67,susan strong, Uh.,
28097,184,75,susan strong, Baby!,
28115,184,93,susan strong, Now you tell Susan where you take baby or I'm—,
28120,184,98,susan strong, Baby.,
28124,184,102,susan strong, Susan is camouflaged.,
28126,184,104,susan strong, Why is Susan in this line? Susan didn't think this through.,thinking
28133,184,111,susan strong, Susan needs no fizz! Susan have hero heart!,
28138,184,116,susan strong, Ugh. It's sticky.,
28140,184,118,susan strong, You a good doggy? You know where baby is? Doggy help Susan?,
28142,184,120,susan strong, No!,
28144,184,122,susan strong," Tsk, tsk, tsk.",
28146,184,124,susan strong," Baby! Hold on, baby!",
28152,184,130,susan strong, Susan hates Cheryl!,
28154,184,132,susan strong, Yes. Susan is the dingus. Now gimme the baby!,
28157,184,135,susan strong, Don't drink that.,
28160,184,138,susan strong, Stop!,
28162,184,140,susan strong," Yes, I am Cheryl. ",kicks apart a pipe
28164,184,142,susan strong," And Cheryl says this is what we do now. Back to work! Everybody, destroy the factory!",
28052,184,30,susan strong," No, Cheryl. Susan will not enjoy!",
28055,184,33,susan strong, No. It fake juice. Tough-guy hyoomans do not drink fake juice.,
28060,184,38,susan strong," Eh?! Baby! ,  Baby!",runs after drones
10269,60,9,cake,"  What are these boogers for, anyway?",
10278,60,18,cake,"  Fionna, we got trouble! My tail is totally frizzin' out!",
10304,60,44,cake,  We'd love to!,
10306,60,46,cake,"["" Yes, we'll be there!""]",Dragging a stunned Fionna out of the room
10308,60,48,cake,"  Oh, it's a date!",
10310,60,50,cake,"  Shut up, he's into you!",
10312,60,52,cake,"  Well, that could change tonight.",
10314,60,54,cake,"  I'm coming to help you! Hold on, I'm bringing my dulcimer.",
10316,60,56,cake,  It's a conversation starter. ,Puts dulcimer on her back
10320,60,60,cake,"  No! No retreat, girl.",
10325,60,65,cake,"  Hiya, gorgeous.",
10331,60,71,cake,  Catnip! Sweet babies! ,Starts tapping the bag against her head
10340,60,80,cake,"["" Psst, Fi, tell Gumball that you think he's hot.""]",Whispering
10342,60,82,cake,"["" Guys like to hear that they're hot!""]",Whispering
10349,60,89,cake,"  After him, Fionna. After your man. ",They take off
10353,60,93,cake,  Why are y'all breathless if we're the ones running?,
10362,60,102,cake,  See you back at the tree house. ,"Winks to Fionna, Fionna blushes, as Cake and Lord Monochromicorn fly away"
10372,60,112,cake,  I know! I was there for that part!,
10374,60,114,cake,"  Oh, my goodness! It's almost seven! You need something to wear! Oh, hold on honey, I am gonna make this happen!",
10377,60,117,cake,  It's a ball! You don't need weapons!,
10379,60,119,cake,"  Okay! Lets go, go, go!",
10385,60,125,cake,"  Okay, girl! I'll see you later!",
10399,60,139,cake,  Fionna!,
10402,60,142,cake,"  WHAT'S GOING ON IN HE— ,  AAAHH! Don't you touch her! ","Sees Prince Gumball with his hand on Fionna and her dress in tatters and rushes towards Prince Gumball, She jumps up and flails and scratches on his face until Fionna pulls her off"
10410,60,150,cake,  Ha ha! I'm a queen! ,Fionna knocks off the tiara
10415,60,155,cake,"  Me, too. Ice King's the real deal!",
18104,114,7,cake,"  Good job, girl! Have some spaghetti!",
18113,114,16,cake,  That's not a book! It's a bomb!,
18123,114,26,cake,"  Aww, what a sweetie!",
18128,114,31,cake,"  Hop on, baby!",
18156,114,59,cake,"  Ooh, nice throw!",
18158,114,61,cake,  What about Gumball's mission we went on this morning? Delivering daisy chains to the fluffy people not enough for you?,
18170,114,73,cake,  I'm not going out there! It's wet.,
18189,114,92,cake,[' Fionna!'],gasps
18208,114,111,cake,"  ♫ Oh, oh! ,  I got a hot potata! And I gots two hot tomatas! Well they'll make a good sauce maybe... ♫",Singing
18211,114,114,cake,['\xa0♫ ... on the table... the table... for as long as I am able! ♫'],Still singing
18220,114,123,cake,"  Hey, break it up, you too!!",
18226,114,129,cake,  Yeah...,
18240,114,143,cake,"  Uh-uh boy, what are you thinking?",
18242,114,145,cake,  Fionna!,
18244,114,147,cake,  Grab onto my little paws!,
18255,114,158,cake,"  Oh, goodness!",
25528,164,67,cake, Ya!,
25530,164,69,cake, Ha! Dance you puppets!,
25549,164,88,cake, How'd he know your name?,
25553,164,92,cake, Y'all seeing those big floaty faces?,
25578,164,117,cake," Yeah, whatever.",
25616,164,155,cake, Haha! Cake's helping!,
18110,114,13,cake,  Give us the Enchiridion!,
25625,164,164,cake," Yes, your hotness!",
1752,8,157,tiffany,"["" Jake's MY best friend now! FOREVER!""]",Laughs evilly
1759,8,164,tiffany,[' No! Jake will be mine!'],Kicks Finn off of him
1766,8,171,tiffany,"  You'll never defeat me! I will! Be Jake's best friend! Because I'm! Tiffanyyyy ,  Ahhhhhh!",Finn spits on his head and he runs off
19881,126,58,tiffany," Well, well. From the shadows of dream, the dog wakes to find its—ugh—, —the dog wakes to find its mangy tail flopping in the dust like a fish in a tree. That fish is me! Tiffany! ,  I'm coming Jake, I'm coming!","Checks what's written on his arm, Jumps into a hole"
19885,126,62,tiffany," Never mind that, the real question is what's that slo-mo Finn know about this?",
19901,126,78,tiffany," Can't ya see guys, he's desperate! Somebody got to him 'cause he's soft now.",
19905,126,82,tiffany," Glom you, Jake.",rough voice
19908,126,85,tiffany, What the—?!,angrily
19912,126,89,tiffany," I know that vault inside and out! Every guard rotation, every camera, every deadly trap. And that safe is locked up so tight it makes me wanna spit out my guts and cry about it. Do you even have a plan, Jake?!",
19931,126,108,tiffany," Just like old times, right, Jake? When we were blood, we'd follow each other in the jaws of death on a pale horse.",Holding a dynamite
19941,126,118,tiffany, The Baker's Shard is on the other side of—that. The Corridor of a Thousand Deaths.,
19953,126,130,tiffany," Now—ugh—, —I'm the dog, and you're the tail! Now you chase me! You chase my dreams! ","Checks what's written on his arm, pulls a lever through which an alert is set off"
19955,126,132,tiffany," Oh crud! Jake, I love you! I love youuu!",
27027,176,51,tiffany," Tiffany! Finn, I'm gonna kill you!",in Finn's mind
27034,176,58,tiffany," Yo, Finn! I'm gonna kill you!",
27036,176,60,tiffany, Ruff! Thought so. ,"growls and beats his chest, shovels sugar into his mouth"
27038,176,62,tiffany," Yeah, I lost my teeth eating the Baker's Shard. It's a lot of sugar, right?",
27040,176,64,tiffany," See, this is a good example of why I want to kill you. You're ignorant. ,  Heed my words, Finn. As the miller's wheel forever outrages the seed, so the good apple boringly receives his neighbor's worm.",pokes Finn between the eyes
27042,176,66,tiffany, And all the corn gets smooshed to grease—to grease under the miller's fleaping wheel.,
27044,176,68,tiffany, You're getting greased!,
27046,176,70,tiffany," Bygones? Ha! ,  That's you. Bye! ,  Gone!","points to peach, smashes peach with tray"
27048,176,72,tiffany, Bye-gone! ,smashes Finn's peach
27050,176,74,tiffany," Tonight, light's out. Tomorrow, your eyes out!",
27053,176,77,tiffany," I don't need some fancy thinger to kick butt when I've got these! ,  You know about these?",raises fists
27055,176,79,tiffany," You will. Anyway, I just kinda wanted your sword 'cause it's pretty cool, I guess. Whatever. I'll get it soon enough... from off your dead corpse, you chump! ",laughs
27059,176,83,tiffany, Bullstuff.,
27061,176,85,tiffany, I was friends with Jake. Then some baritone herb stole him away from me.,
27063,176,87,tiffany," And when that snow-white wiener dog is finally dead, Jake will be devastated.",
27065,176,89,tiffany," He'll need a shoulder to cry whiny, Finn-style tears on, and that shoulder will be mine—Tiffany's! Then I can get busy with undoing your cheesy influence, plus more! With my help, Jake will become the criminal juggernaut he was always meant to be.",
27067,176,91,tiffany, We won't just be robbing banks anymore.,
27069,176,93,tiffany, We'll be robbing the actual banks. The whole banks!,
27071,176,95,tiffany, You get it? We're gonna steal actual whole buildings.,
27073,176,97,tiffany," So don't tell me we're not so different, okay?! We're opposites, you and me. Oil and goody-goody snow-white baby-vanilla bean mitten water! Go, Tiffany! ",runs off
27075,176,99,tiffany," Finn! Get in here, quick!",
27078,176,102,tiffany,"["" There's something moving in the walls. It was like ""]",imitates sound
27088,176,112,tiffany, You good?,
27093,176,117,tiffany, Finn!,
27097,176,121,tiffany, Mm...,
27099,176,123,tiffany," You're right, Finn. I can't bring myself to do it...",sighs
27101,176,125,tiffany," ...but I can't bring myself to save you, either.",
27103,176,127,tiffany, Why are you still smiling?,
27105,176,129,tiffany," Look, you're—you're on your own. I'm sorry.",
27107,176,131,tiffany," Catch you on the flip, I guess.",
27110,176,134,tiffany,,screams
19940,126,117,tiffany, ,"coughing, They get close to the door and open it"
19951,126,128,tiffany, —daddy! ,laughing
670,3,100,finn & jake,  Tree Trunks! ,Gasp
1003,5,35,finn & jake,  Next to a little dancing guy every morning!,
1055,5,87,finn & jake,  ,Screaming
1082,5,114,finn & jake,  ,Laughing
1184,5,216,finn & jake,  Awww...,
1502,7,141,finn & jake,[' Ooo.'],Tired
1526,7,165,finn & jake,[' To being great adventurers!'],Both grabbing a tub of ice cream and toasting with them
1937,10,37,finn & jake,"["" Hahaha! Yeah! We want 'em! Give us the stuff!""]",Excitedly
1950,10,50,finn & jake,  Whoa!,
2396,13,5,finn & jake,[' Wooow!'],Running towards the gate
2958,16,60,finn & jake,[' What?!'],running back to him
2979,16,81,finn & jake,  What?!,
3010,16,112,finn & jake,  ,gasp
3025,16,127,finn & jake,"  Whoa, wait! ,  Aw, man!",the ice freezes their feet
3061,16,163,finn & jake,  ,laugh
4129,23,37,finn & jake,  Secret door!,
5048,28,50,finn & jake,[' Nice King! Yeeeaah! '],"From a distance., The leap dramatically and land in front of the dome."
5050,28,52,finn & jake,[' Huh? '],"Both stare at one another., The Princesses have also stared in confusion."
5057,28,59,finn & jake,  ,Bow down.
5059,28,61,finn & jake,  Yeeah! We're knights! Niiice...,
5134,28,136,finn & jake,"[' Get ready, Ice King, for battle!']",Exiting the castle on Jake's back as he stretches through an opening.
5144,28,146,finn & jake,[' The Nice King is the Ice King!'],Gasp
5159,28,161,finn & jake,  ,Plow through the princesses who are getting knocked to the side but not harmed. They enter the castle.
5193,29,25,finn & jake,  Wha?,
5227,29,59,finn & jake,  Whoa! ,Comes to a place with lot of curtains
5252,29,84,finn & jake,  Wha?!,
5258,29,90,finn & jake,  Huh! ,They see a Red-faced Monster crying
5282,29,114,finn & jake,  Yeah!,
5285,29,117,finn & jake,  Whoa! ,"They came to a door that says ""Home of Zeldron's Armor"""
5290,29,122,finn & jake,  Drop Ball?,
5299,29,131,finn & jake,  Whoa! ,they see a big shiny light
5308,29,140,finn & jake,  Huh?,
5490,31,11,finn & jake,  Snail attack!,
5492,31,13,finn & jake,  Aaaaaah! Oof!,
5510,31,31,finn & jake,  Whoa! Aaah!,
5520,31,41,finn & jake,  Lady time! ,LADY TIME screen card; Wolf whistle
5526,31,47,finn & jake,  No!,
5546,31,67,finn & jake,  Aaah!,
5613,31,134,finn & jake,  ,Both screaming
5617,31,138,finn & jake,  Whoa!,
5656,31,177,finn & jake,"  Oh, BMO!",
6084,34,142,finn & jake,  ,scream
6866,39,11,finn & jake,  Haha! Yeah!,
6914,39,59,finn & jake,  Whoo! Awesome.,
6916,39,61,finn & jake,['\xa0Ooooh.'],Wearing controller hats
7427,42,72,finn & jake,  Oooooo!,
7481,42,126,finn & jake,  Ahh!,
7555,42,200,finn & jake,  Yeah! The Princess Plant!,
7562,42,207,finn & jake,"  Yay, hugs!",
8028,46,11,finn & jake,"[' ♫ Dream, dream, dream, dream, dream...♪']",holding hands and dancing in a circle
8052,46,35,finn & jake,  What?!,
8136,46,119,finn & jake,  Whoaa.,
8376,48,20,finn & jake,  Heat Signature 3.,
8394,48,38,finn & jake,"  ""Warning. Federal law provides severe and criminal penalties for the unauthorized exhibition of copyrighted motion pictures.""",
8416,48,60,finn & jake,  Movie filming time!,
8440,48,84,finn & jake,"  Yeah, perfect.",
8442,48,86,finn & jake,"  Yeah, look great.",
8444,48,88,finn & jake,  That's even better!,
9779,57,3,finn & jake, King and Queen Lumpy Space!,
9820,57,44,finn & jake, Nothing scares us!,dropping villagers
10576,62,22,finn & jake, NOOOOOOOO!,
10696,62,142,finn & jake,,gasp
10982,64,59,finn & jake,  LSP!,
11292,66,113,finn & jake, Wha—?!,
11296,66,117,finn & jake,  ,gasp
11310,66,131,finn & jake, Nice!,high-five
11598,69,55,finn & jake,  Ahh! ,They duck down and it flies over their heads.
11603,69,60,finn & jake,  Whoa ,then it bounces of Banana Man's car and then goes to the other side of the house
11757,70,92,finn & jake,  Aah!,
11806,70,141,finn & jake,"  Hey/Uhhh, you sound weird!",
11975,72,71,finn & jake,"  Shh, shh, shh!!",
12015,73,2,finn & jake,  ,grunting
12978,79,14,finn & jake,[' UGH!'],In disgust
12993,79,29,finn & jake," Aaaaaahhhh.... ,  ZAH!!","Voices crescendoing, Their hands meet thunderously."
13242,81,24,finn & jake,  Hmmm.,
13377,82,2,finn & jake,,Both scream
13403,82,28,finn & jake, AHHHhhhh...,both scream
13419,82,44,finn & jake, Marceline's dad.,
13471,82,96,finn & jake, Tight!,grimace as they squeeze in
13473,82,98,finn & jake, Ow!,
