artista,nombre,ironhacker,letra
David Bowie,"""Heroes"" / ""Helden"" - 2001 Remaster",capitan_z,
Me First and the Gimme Gimmes,Favorite Things,entzo,"[Verse 1]
Raindrops on roses and whiskers on kittens
Bright copper kettles and warm woolen mittens
Brown paper packages tied up with strings
These are a few of my favorite things

[Verse 2]
Cream-colored ponies and crisp apple strudels
Doorbells and sleigh bells and schnitzel with noodles
Wild geese that fly with the moon on their wings
These are a few of my favorite things

[Verse 3]
Girls in white dresses with blue satin sashes
Snowflakes that stay on my nose and eyelashes
Silver white winters that melt into springs
These are a few of my favorite things

[Hook]
When the dog bites, when the bee stings
When I'm feeling sad
I simply remember my favorite things
And then I don't feel so bad

[Verse 1]
Raindrops on roses and whiskers on kittens
Bright copper kettles and warm woolen mittens
Brown paper packages tied up with strings
These are a few of my favorite things
[Verse 2]
Cream-colored ponies and crisp apple strudels
Doorbells and sleigh bells and schnitzel with noodles
Wild geese that fly with the moon on their wings
These are a few of my favorite things

[Verse 3]
Girls in white dresses with blue satin sashes
Snowflakes that stay on my nose and eyelashes
Silver white winters that melt into springs
These are a few of my favorite things

[Hook]
When the dog bites, when the bee stings
When I'm feeling sad
I simply remember my favorite things
And then I don't feel so bad"
Berri Txarrak,Katedral Bat,1132937644,"Gitarra astindu
Eta ikusi kanturik baduen hor nonbait ezkutuan
Behatzak bihurritu
Ea norbaitek ahaztua duen akorde minorren bat

Eta min eman arte zure falta izan
Ez da musa hoberik

Katedral bat egin hegalik gabe sortu ziren
Abesti pusketekin
Bertako beiratetik sartzen diren eguzki izpien
Energiaz berrekin

Eta min eman arte zure falta izan
Ez da musa hoberik
Ikasitakoa desikasten ikasi
Ahaztutakoa ahaztu eta aurrera egin

“Irakurtzea da bestela idaztea”
Paperak aitortzen dit
“kantatu besterik ez nuen egin nahi”
Erantzuten diot nik

Neure ahotsa bilatu, beti besteena entzun
Loa kentzen didanari ekintzekin erantzun
Lagunarteko uneak luzarazi
Maitasuna egin maite dugunekin
Carpe noctem!

Eta min eman arte zure falta izan
Ez da musa hoberik
Bihotzen artean parkour egitean erori
Baina beti zutik erori

Gitarra laztandu barruan kanturik baduen…"
Biffy Clyro,Many of Horror,1132937644,"[Verse 1]
You say ""I love you, boy""
I know you lie
I trust you all the same
I don't know why

Cause when my back is turned
My bruises shine
Our broken fairytale
So hard to hide

[Pre-Chorus]
I still believe it's you and me 'til the end of time

[Chorus]
When we collide we come together
If we don't we'll always be apart
I'll take a bruise; I know you're worth it
When you hit me hit me hard

[Verse 2]
Sitting in a wishing hole
Hoping it stays dry
Feet cast in solid stone
I've got Gilligan's eyes

[Pre-Chorus]
I still believe it's you and me 'til the end of time

[Chorus]
When we collide we come together
If we don't we'll always be apart
I'll take a bruise; I know you're worth it
When you hit me hit me hard

[Bridge]
You said love was letting us go against what
Our future is for...
Many of horror
Our future's for many of horror

[Pre-Chorus]
I still believe it's you and me 'til the end of time

[Chorus]
When we collide we come together
If we don't we'll always be apart
I'll take a bruise; I know you're worth it
When you hit me hit me hard"
Vetusta Morla,Los Días Raros,1132937644,"Ábrelo, ábrelo despacio
Di que ves, dime que ves
Si hay algo
Un manantial breve y fugaz
Entre las manos
Toca afinar, definir el trazo
Sintonizar, reagrupar pedazos
A mi colección de medallas
Y de arañazos
Ya está aquí, quien lo vio
Bailar como un lazo en un ventilador
Quien iba a decir, que sin carbón
No hay reyes magos
Aún quedan vicios por perfeccionar
En los días raros
Nos destaparemos en la intimidad
Con la punta del zapato
Ya está aquí, quien lo vio
Bailar como un lazo en un ventilador
Quien iba a decir, que sin borrón
No hay trato
El futuro se vistió
Con el traje nuevo del emperador
Quien iba a decir que sin carbón
No hay reyes magos
Nos quedan muchos más
Regalos por abrir
Monedas que al girar
Descubran un perfil
Y empieza el celofán
Y acaba en eco"
Dropkick Murphys,"Johnny, I Hardly Knew Ya",entzo,"[Intro]
While on the road to sweet Athy, hurroo hurroo
While on the road to sweet Athy, hurroo hurroo
While on the road to sweet Athy
A stick in the hand, a drop in the eye
A doleful damsel I did cry
Johnny I hardly knew ya

[Verse 1]
Where are the eyes that looked so mild, hurroo hurroo
Where are the eyes that looked so mild, hurroo hurroo
Where are the eyes that looked so mild
When my poor heart you first beguiled
Why did ya run from me and the child
Johnny I hardly knew ya

[Chorus]
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns
The enemy never slew ya
Johnny I hardly knew ya

[Verse 2]
Where are the legs with which you run, hurroo hurroo
Where are the legs with which you run, hurroo hurroo
Where are the legs with which you run
When first you went to carry a gun
Indeed your dancing days are done, Johnny I hardly knew ya

[Chorus]
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns
The enemy never slew ya
Johnny I hardly knew ya

[Verse 3]
You hadn't an arm, you hadn't a leg, hurroo hurroo
You hadn't an arm, you hadn't a leg, hurroo hurroo
You hadn't an arm, you hadn't a leg
You're an eyeless, boneless, chickenless egg
You'll have to be put with the bowl to beg
Johnny I hardly knew ya

[Chorus]
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns
The enemy never slew ya
Johnny I hardly knew ya

[Bridge]
I'm happy for to see ya home, hurroo hurroo
I'm happy for to see ya home, hurroo hurroo
I'm happy for to see ya home from the isle of Ceylon
Johnny I hardly knew ya

[Chorus]
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns, hurroo hurroo
We had guns and drums and drums and guns
The enemy never slew ya
Johnny I hardly knew ya"
Architects,Animals,1132937644,"[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm... (Hey)

[Verse 1]
So what you trying to do to me? (Hey)
It's like we can't stop, we're enemies (Hey)
But we get along when I'm inside you, yeah (Hey)
You're like a drug that's killing me (Hey)
I cut you out entirely (Hey)
But I get so high when I'm inside you

[Pre-Chorus]
Yeah, you can start over, you can run free (Hey)
You can find other fish in the sea (Hey)
You can pretend it's meant to be (Hey)
But you can't stay away from me
I can still hear you making that sound (Hey)
Taking me down, rolling on the ground (Hey)
You can pretend that it was me, but no, oh (Hey)
[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm... (Hey)

[Verse 2]
So if I run, it's not enough (Hey)
You're still in my head, forever stuck (Hey)
So you can do what you wanna do, yeah (Hey)
I love your lies, I'll eat 'em up (Hey)
But don't deny the animal (Hey)
That comes alive when I'm inside you

[Pre-Chorus]
Yeah, you can start over, you can run free (Hey)
You can find other fish in the sea (Hey)
You can pretend it's meant to be
But you can't stay away from me
I can still hear you making that sound (Hey)
Taking me down, rolling on the ground (Hey)
You can pretend that it was me, but no, oh (Hey)
[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm...

[Bridge]
Don't tell no lie, lie, lie, lie
You can't deny-ny-ny-ny
The beast inside, si-si-side
Yeah, yeah, yeah
No girl don't lie, lie, lie, lie (No, no, don't lie)
You can't deny-ny-ny-ny (You can't deny)
The beast inside, si-si-side
Yeah, yeah, yeah, yo-oh, oh, oh, oh, oh, oh, oh
Just like animals, animals, like animals-mals (Hey, hey)
Just like animals, animals, like animals-mals, oww!
(Yeah, yeah, yeah)

[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm...
[Outro]
Don't tell no lie, lie, lie, lie
You can't deny-ny-ny-ny
The beast inside, si-si-side
Yeah, yeah, yeah
No girl don't lie, lie, lie, lie (No, no, don't lie)
You can't deny-ny-ny-ny (You can't deny)
The beast inside, si-si-side
Yeah, yeah, yeah"
The Avalanches,Because I’m Me,javiercabrera9627,"[Chorus: Six Boys in Trouble]
If she don't love me
What can I do?
Just put on my best pair of shoes
Because, oh, I'm me
Because she said, ""He's the one
That drill the charms
Honey, that's so wrong""
I just want to know what's wrong with me
Being in love with you?
(Yeah)
(Hey, Frank!)

[Verse 1: Sonny Cheeba]
Yeah
Ninth grade had the jingles of the swinging rainbow jacket
Bar slang low, Bronx's only Django
Snap, he'd gone full stopper, that's where my props go
That's where my pops went
See, my percentage is a pennant to the planet
Knock it out the ball park, Frankie
I should not tire this tire
To a better love, let the wings spread
It'll always come back, baby
Come back, shellac black, baby
A comeback, flat black paint on a Chevy
[Chorus: Six Boys in Trouble]
If she don't love me, what can I do?
Just put on my best pair of shoes
Because, oh, I'm me
Because, yeah, I'm me
Because, oh, I'm me
Because I'm me, I'm me

[Verse 2: Sonny Cheeba]
Never mind my tone when I told Pretty Tony
Listen to my tone, you ain't catchin' you a Tony
Award-winning walk when you running with a shottie
Why you running from us? Why you messing with us?
We ain't got no guns, we just let the bears witness
The Grizzly, maybe Polar
You ain't ready, you ain't ready 'ready rolled up
Pulling a machete, cut the bamboo paper
And let's roll out, baby, like Frankie

[Chorus: Six Boys in Trouble]
I just want to know
What's wrong with me?

[Instrumental Break]

[Spoken Outro]
Watch the shit, it's good
[Produced by Robbie Chater and Tony Di Blasi]"
The Animals,House of the Rising Sun,entzo,"[Chorus]
There is a house in New Orleans
They call the Rising Sun
And it's been the ruin of many a poor boy
And God, I know I'm one

[Verse 1]
My mother was a tailor
She sewed my new blue jeans
My father was a gamblin' man
Down in New Orleans

[Verse 2]
Now the only thing a gambler needs
Is a suitcase and a trunk
And the only time he'll be satisfied
Is when he's all drunk

[Organ Solo]

[Verse 3]
Oh, mother, tell your children
Not to do what I have done
Spend your lives in sin and misery
In the House of the Rising Sun
[Verse 4]
Well, I got one foot on the platform
The other foot on the train
I'm goin' back to New Orleans
To wear that ball and chain

[Chorus]
Well, there is a house in New Orleans
They call the Rising Sun
And it's been the ruin of many a poor boy
And God, I know I'm one"
Bill Withers,Lovely Day,javiercabrera9627,"[Verse 1]
When I wake up in the morning, love
And the sunlight hurts my eyes
And something without warning, love
Bears heavy on my mind

[Chorus]
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)

[Verse 2]
When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way

[Chorus]
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
[Verse 3]
When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way

[Chorus]
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day)"
Channel Tres,Topdown,javiercabrera9627,"[Intro: Johnny Venus]
Doctor told me I should rest
But I ain't gon' never ever quit
I like girls with pretty feet, yeah
And jeans that'll never ever fit, yeah, yeah, yeah

[Chorus: Johnny Venus]
Top down (Yeah)
And I'm floatin' through the city, yeah, yeah, yeah, yeah
Watch out (On the run)
Deputy out to get me, yeah, yeah, yeah, yeah
Top down (Top down)
And I'm floatin' through the city, yeah, yeah, yeah, yeah
Watch out (On the run)
Deputy out to get me, yeah, yeah, yeah, yeah

[Verse 1: Johnny Venus]
Most that shit y'all talkin' bout
Ain't really talkin' 'bout nothin' (No)
Say you 25 when you really 32
Baby goin' in, go and stop frontin' (Woah)
Bottle in the club cost a stack
You ain't even got nine hundred (Oh)
Ben-10 with the bustdown
Different ring got my whole damn leg
Got my whole damn leg
I dare you, put it together
On that white just like Othello
I don't check emails, better be textin'
CC me if you're talking reckless
Pinky toe yellow, foot on the pedal
My bitch a speed devil
That's vroom, vroom, vroom, skrrt
They won't catch us never
Beyoncé, my halo
My angel, my devil
My shooters come through with the doot, doot, doot, doot
Man, I'm tellin' you
I got the heart of a dragon
I'm livin' like I imagined
World is mine, no askin'
The world is mine, I'm stabbin', stabbin' now

[Chorus: Johnny Venus]
Top down (Yeah)
And I'm floatin' through the city, yeah, yeah, yeah, yeah
Watch out (On the run)
Deputy out to get me, yeah, yeah, yeah, yeah
Top down (Top down)
And I'm floatin' through the city, yeah, yeah, yeah, yeah
Watch out (On the run)
Deputy out to get me, yeah, yeah, yeah, yeah

[Verse  2: Doctur Dot]
I don't waste time on the phone like that
And I stay leavin' texts on read
I had, the minute I'm home, I ran into a fling
But I can't really call her my ex
She said, ""I see you, I know you been workin', lil' daddy
You look like you gettin' to the check
I know you focused on work
But I can't help but notice you can't talk about nothin' else
What about you?
How's your mental? How do you cope with what you been through?
How's your tempo?
Who in your life are you really close to?""
I was like, ""Damn,"" space left blank
Plenty of fish in the sea, but nobody fuck with a shark in the tank
Peddle my mind later, washin' the whip
See my reflection, it's all in the paint
Laid back top, bumping that Frank Ocean, ""Crack Rock""
When I pull up, ridin' with a pack rat, don't get caught
Been through it all, I'm no stranger to loss
R.I.P. Richard, Olivia, Charles
If nothin' else, I'ma do it for y'all
I don't rap, I just say what's on my heart

[Chorus: Johnny Venus]
Top down (Yeah)
And I'm floatin' through the city, yeah, yeah, yeah, yeah
Watch out (On the run)
Deputy out to get me, yeah, yeah, yeah, yeah
Top down (Top down)
And I'm floatin' through the city, yeah, yeah, yeah, yeah
Watch out (On the run)
Deputy out to get me, yeah, yeah, yeah, yeah

[Outro: Johnny Venus and Doctur Dot]
Said I've been drinkin'
And I've been smokin'
And shawty, I'm flying' down 285, but I'm so focused
Said I've been drinkin'
And I've been smokin'
And baby, I'm flying' down 285, but I'm so focused"
Mon Band,Quimica Brutal,soyungalgo,"[Letra ""Desorden""]

[Intro: Sample; Lom-C]
Hay alguna idea original en mi cabeza
La vida son dos días, necesito vivirlos al máximo
Hoy es el primer día del resto de mi vida
(desorden, desorden)
Soy un tópico ambulante
Debería empezar a correr otra vez ocho kilómetros al día
Pero hacerlo de verdad o hacer escalada
Tengo que dar un giro en mi vida
¿Qué tengo que hacer?
Tengo que leer más, cultivarme
Y si aprendiera KungFu, yo qué sé o tocar un instrumento
Podría aprender chino, eso sería brutal ¡que ridículo!

Ser auténtico, una persona segura
¿Por qué debería creer que tengo que pedir perdón por existir? Quizás sea la química cerebral
Quizás eso es lo que me pasa, una alteración química
Todos mis problemas y mi ansiedad
Podrían deberse a un desequilibrio químico
O a una serie de sinapsis defectuosas...
Tengo que hacérmelo mirar

[Verso 1: Lom C]
Hace tiempo que escribo para ordenar tanto silencio
Tiempo que no vivo, sólo hablo con el viento
Tardes de prisión calculando cada huida
Tanta depresión, tantas lágrimas vertidas
Mi corazón se hizo de piedra, luché sin ganas
Mirando con el alma el drama el día de mañana
Nada volverá me susurro en un cuaderno
Cada soledad de invierno me hizo ser eterno

El vidente que no ve, adivina, pero olvida
El último druida que ya se bebió su vida
Ebrio de ansiedad en el libro de mis párrafos
A ratos resucito, escribo libre en este páramo

Cabeza entre las nube, es el lema que me guía
Las cosas que escribo son ciencia, pura mercancía
A veces soy el agua, otras veces sólo prendo
Chispas, se queman mis frases y ni me sorprendo

Carismas sobre el folio, en la calle… nada nuevo
De tanto esperar me marché y regresaré de nuevo
El ciclo de los sueños rotos, la misma foto
El álbum donde toco el caos cada vez que exploto

Música para las mentes, ponte este sonido, vente
Soy el Edén de los actos inconscientes
Saltos al vacío de las líneas que me dan vida
Una salida y unas cartas al presente

Sentado en la nada que creo, mi mausoleo
Cada tempestad es brisa si luego te veo
Rapeo mis deseos en el mar de la angustia
Levanto mi trofeo y mis taras ante la industria
Harto de saber que mis manos sí trabajan
Harto de buscar dinero en lo que me relaja
Mastico la tensión de vivir encadenado
A esta libertad de esclavo que yo me he creado

Dado que mi tiempo no está, pero se gasta
Dado que la gente aplasta y si no, te subasta
Ya ni en mí confío; soy amor, pero con frío
El alma de otro crío en este futuro sombrío

Un zombi cotidiano, meridiano de su esfera social
Donde viven fieras de lo irracional
MC de días grises en la era de la luz
Vendaval que nos consume a todos ¿qué me dices tú?

Un camino, no veo el final, pero lo intuyo
¿Qué le voy hacer si todo lo que tengo es tuyo?
Escribo por necesidad, no sé si me entiendes
Si no se moriría de hambre el corazón que siente

Dentro de este folio se anula lo material
Ahí fuera todo es diferente y sale mi instinto animal
Paseo en laberintos por el mal del hombre
Poseo algo distinto, lo tengo y no sé dónde

Éste es mi desorden, desorbitados cuentos
Fragmentos limitados del dolor que me invento
Si tengo que morir, que sea tarde y contigo
Si tengo que sufrir, que sea por lo que no digo
Un abrazo, un llanto; polos casi opuestos
El día, la noche, un gesto y este Rap honesto
Maestro de aprender que no sé casi nada
Así consigo ser alguien nuevo cada mañana

Levanto de la cama por orgullo y por tus besos
Redacto cada nuevo escrito, repito el proceso
Me siento encerrado en esta vida que no sé dónde lleva
Quizás mañana pueda o quizás no estaré

Lo asumo, pero me consumo, lento como gas
La llama que me quema es humo y ya no aguanto más
Eso es lo que siento, pero sé que se irá
Como sé que recordar es ira y yo soy espiral

Una y otra vez dando vueltas a lo mismo
Lo llamareis rutina, yo lo llamo inconformismo
Soy como esa pieza que no encaja, pero quiere
Ser igual al resto aunque sabe que así se muere

Ya no pido nada, ya no busco, solo estoy
Mis ojos no te ven aunque te miren y así voy
La mente en las alturas, más grande es la caída
Vivo a oscuras, déjame que antes me despida

Esta noche todo pasará, como siempre
Mañana Dios dirá si es que vive en occidente
Ciudades son empresas, vida es el producto
Ponerme las esposas ya, será lo más justo

Mi crimen fue soñar y esperar que mis sueños
Un día se cumplieran, ¡pobre niño ingenuo!
Ahora ni me adapto ni quiero ser abstracto
Saco otro proyecto y no me importará el impacto

Llevo mucho tiempo resumiendo lo que siento
Si no sonara bien, menuda pérdida de tiempo
Sólo sé hacer esto (sí) Fuera del papel
Soy un desperdicio ingenuo, otro perro fiel

Pero cuando escribo no, no existen bozales
Vine a destrozarles con palabras que son miel
Dulce manantial que me riega por dentro
Así vivo contento y me tatúo la piel

[Outro: Sample; Lom-C]
Desorden
No me saques del papel. para lo demás soy torpe
Desorden
No me saques del papel, para lo demás soy torpe
Desorden
No me saques del papel, para lo demás soy torpe
A flor de piel, universo no me cortes
No me saques del papel, para lo demás soy torpe
Desorden
Para lo demás soy torpe, para lo demás soy torpe"
Marc Seguí,Gameboi,soyungalgo,"[Intro]
All doctors to the ER
Ba-da-da-da-da-da-da (Gameboi)
That Kid

[Verse 1]
Doctor's in, I'm popping medicine
Prescription fixin' me right up until I get it in
Oxygen, until the shock sets in
My body's shaking, flatlined baby 'til she walks in

[Verse 2]
Lay me back and plug her in
She brings me back to high school, babe (I think I'm fittin' in)
All white, the devil in disguise
I think I need to check my eyes
Was catching feelings for the guys
Paging the nurse to change my mind

[Chorus]
I need a doctor, that's what they tell me
Shot up to heaven, living hell inside my body
They operatin', I think I'm changin'
But every time he passes by, I'm thinking (Doctor?)
ICU (Doctor, doctor?)
Is there something you can do? (Save me, baby)
ICU (Help!)
Cause babe there's nothing I can change every time I see you (ICU)

(That Kid)
Code blue, room 305

[Verse 3: That Kid]
I know this boy who makes me feels kinda funny
Kinda weird, I want his hands on my body
Tell the doctor, this feels wrong
Change my ways and play along
Change the way I walk and talk
Take some pills and pray to God
Find a way to make this stop
Hook me up to IV drop
Watch me all around the clock
If that don't work, give me a shock

[Chorus]
I need a doctor, that's what they tell me
Shot up to heaven, living hell inside my body
They operatin', I think I'm changin'
But every time he passes by, I'm thinking (Doctor?)
ICU (Doctor, doctor?)
Is there something you can do? (Save me, baby)
ICU (Help!)
Cause babe there's nothing I can change every time I see you (ICU)

[Bridge]
Now, doctor doctor
I know you've got to see
That all my love, joy, and innocence
Was pulled from under me
And I know
That it's real late but I was up just wondering
If you had a few more pills for me I still can't get to sleep
Thinkin' bout him
Thinkin' bout her
And I'm thinking that if I keep thinkin'
This shit will never occur, so
I ring my bell
I drop my gown
I said, now nurse come here
And take my ass to town
Oh, help me

[Chorus]
I need a doctor, that's what they tell me
Shot up to heaven, living hell inside my body
They operatin', I think I'm changin'
But every time he passes by, I'm thinking

(Shh!)

[Chorus]
I need a doctor, that's what they tell me (No, no, no)
Shot up to heaven, living hell inside my body (No, no, no)
They operatin' (They operatin'), I think I'm changing (I think I'm changin')
But every time he passes by, I'm thinking (Doctor?)
ICU (Can you see me? Can you see me?)
Is there something you can do? (Say your name, baby)
ICU (Help!)
Cause babe there's nothing I can change every time I see you (ICU)"
Cordae,RNP (feat. Anderson .Paak),1194170124,"[Chorus: Anderson .Paak]
One of y'all niggas gon' be fuckin' with me
I got two bad bitches gon' be rubbin' my feet
I got three young niggas down to bust out the heat
And all y'all ain't got nothin' on me
Ooh, not one of y'all niggas gon' be fuckin' with me
I got two bad bitches gon' be rubbin' my feet
I got three young niggas down to bust out the heat
And all y'all ain't got nothin' on me

[Verse 1: YBN Cordae]
Uh, okay, put your fucking hands up, this the fucking anthem
Smiling 'cause I'm young, rich, black, and I'm handsome
Not to mention wealthy, ass on her healthy
Young millionaire, what the fuck can you tell me? Smell me?
Nigga, that's Chanel cologne
I'm in Europe with the tourists with no cellular phone

[Verse 2: Anderson .Paak]
Like ooh, sound like rich nigga problems
I hit a bad bitch with a fistful of condoms
And the randomness of risky ménages
Like get the head right, she can get what she wanted
The spits, then flaunt it, my drip like a faucet
She told me she was prego, I ain't even take the motherfuckin' dick out my pocket, yeah
[Verse 3: YBN Cordae]
The opposite
She want me to fly her, so I copped a jet
Must be thinkin' I'm a one way ticket on a runway
Drippin' in my feng shui, sippin' on a sundae

[Chorus: Anderson .Paak]
One of y'all niggas gon' be fuckin' with me
I got two bad bitches gon' be rubbin' my feet
I got three young niggas down to bust out the heat
And all y'all ain't got nothin' on me
Ooh, not one of y'all niggas gon' be fuckin' with me
I got two bad bitches gon' be rubbin' my feet
I got three young niggas down to bust out the heat
And all y'all ain't got nothin' on me

[Verse 4: YBN Cordae & Anderson .Paak]
I bought a Moncler coat for the times we were broke
I'ma wear it in the summer on LeBron James boat
Front row? Duh, bro, we don't sit on nosebleeds
Ain't your pockets obese? They won't fit in those seats
Ayy, we like a cold team, nigga, Shaq and Kobe
Like back in '03, I was only like 6
Shit, I was like 16, but I can give a sixteen
I can make a bitch scream, that's a bit extreme
I got a thick bald bitch, I call her Ms. Clean
My drip frosty like Halls and Listerine
We all all-stars, you hardly sixth string
Yeah, I had to ball hard to harvest these dreams
Swear to God, me too, no Harvey Weinstein
The coupe was lime green, my wrist was blinding
We party in South Beach, Ferraris and blue cheese
Fuck does that even mean? Nigga, just let the hook sing
[Chorus: Anderson .Paak]
One of y'all niggas gon' be fuckin' with me
I got two bad bitches gon' be rubbin' my feet
I got three young niggas down to bust out the heat
And all y'all ain't got nothin' on me
Ooh, not one of y'all niggas gon' be fuckin' with me
I got two bad bitches gon' be rubbin' my feet
I got three young niggas down to bust out the heat
And all y'all ain't got nothin' on me"
GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",1194170124,"[Intro]
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah

[Verse 1: GoldLink]
Push out your back, put ya butt in it
Wanna love you, but I do not wanna commit
So I dance with ya with the thought of us fuckin'
We dancin' up in the corner, feelin' for the corner pockets
So I ease your work for just a bit, uh
Buy your drink, you have a sip, uh
Then I tell you we should dip
You grabbin' me close and closer 'til you get a kiss
Push up your bra to the left, that's right
Now we in a car with a broke brake light
Thinkin' 'bout the ass, the legs, the head, the sex
The whip, the figure-four leg lock, then we dip out

[Chorus: Jay Prince & GoldLink]
You say you wanna party all day (Mhm, uh-huh)
You say you needed lovin' from me
You say you wanna party all day (Yeah, yeah, yeah)
You say you needed (Yeah, yeah)
So why waste time? (Yeah, yeah, yeah, yeah)
So why waste time? (Yeah, yeah)
So why waste time?
Why waste time? (Time, waste time)

[Verse 2: Tyler, The Creator & Jay Prince]
Ayo, your boyfriend pissed off, smackin' his lips off
The fact my lips are covered in your lip gloss
I say we should dip off out of here
Talk, speak, share some words, grab a ear
Nah, you can't take off, unless you leave your amigo
Swallow your pride and put aside your ego
Man, fuck bein' modest, I'm just bein' honest
You seem home-cooked and them goods McDonald's (Yeah)
But no, the bid is off (Woo)
Niggas always dip and they duck the sauce (Yeah)
Rocks on my neck, I don't know the cost (Nah)
Car out front like the Uber, Uber (Skrrt)
We can hop in, and you can top ten
The list that I wanted to hop in (Wait)
List is full, so I'ma call it a night (Ahh)
And you ain't even my type
I'm all bark, no bite, I'm so sorry (You say you wanna)
Wasted time, I wasted time
Why you dutty wine, it's whatever (Yeah, you say)
You sweatin' drips upon my sweater (My sweater)
It's hot in here, the outside's better (Yeah)
I'm leavin', leavin', you call me back, it's like emotions recedin'
Let's call it a evenin', it's gettin' desperate, yeah

[Chorus: Jay Prince & Tyler, the Creator]
So why waste time?
You say you wanna party all day
You say you needed lovin' from– (Yeah)

[Outro]
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah"
